UPI Beneficiary Members - Top 50 Members (Jan'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"8,773.33",99.99%,0.01%,0.00%,0.00%
2,Axis Bank Ltd.,"2,207.24",99.83%,0.15%,0.02%,0.02%
3,State Bank of India,"2,169.71",99.41%,0.19%,0.40%,0.10%
4,HDFC Bank Ltd.,"1,110.69",99.26%,0.68%,0.06%,0.01%
5,Bank of Baroda,592.69,99.46%,0.53%,0.01%,0.02%
6,ICICI Bank Ltd.,556.23,99.27%,0.23%,0.51%,0.12%
7,Airtel Payments Bank Limited,522.28,93.77%,6.15%,0.08%,0.02%
8,Union Bank of India,517.54,99.62%,0.14%,0.24%,0.08%
9,Canara Bank,503.78,99.30%,0.22%,0.48%,0.07%
10,Punjab National Bank,497.29,99.27%,0.35%,0.38%,0.12%
11,Kotak Mahindra Bank,441.71,99.58%,0.42%,0.00%,0.01%
12,Federal Bank Ltd.,388.29,99.77%,0.21%,0.01%,0.00%
13,INDIA POST PAYMENTS BANK LIMITED,368.73,95.86%,3.55%,0.59%,0.22%
14,Indian Bank,317.41,99.61%,0.18%,0.21%,0.02%
15,Bank Of India,294.90,98.51%,1.40%,0.09%,0.04%
16,Indusind Bank Ltd.,189.20,99.32%,0.36%,0.32%,0.15%
17,Unity Small Finance Bank Limited,183.22,99.75%,0.04%,0.21%,0.07%
18,Indian Overseas Bank,167.02,99.34%,0.52%,0.14%,0.09%
19,Central Bank of India,165.55,99.33%,0.53%,0.14%,0.08%
20,UCO Bank,133.65,99.53%,0.45%,0.02%,0.01%
21,NSDL Payments Bank Limited,117.09,97.32%,2.17%,0.51%,0.20%
22,JIO PAYMENTS BANK LTD,105.42,98.17%,1.67%,0.17%,0.12%
23,Fino Payments Bank Ltd.,92.44,88.97%,4.08%,6.95%,0.34%
24,Bank of Maharashtra,91.56,99.62%,0.35%,0.03%,0.03%
25,IDBI Bank Ltd.,86.23,99.36%,0.59%,0.05%,0.03%
26,Tri O Tech Solutions Private Limited,74.02,97.78%,2.15%,0.06%,0.05%
27,Karnataka Bank,64.82,98.98%,0.297%,0.72%,0.01%
28,BANDHAN BANK LIMITED,59.60,99.51%,0.28%,0.20%,0.21%
29,IDFC Bank Ltd.,55.86,98.39%,1.57%,0.04%,0.01%
30,The Jammu & Kashmir Bank Limited,54.78,98.98%,0.85%,0.17%,0.13%
31,ONE MOBIKWIK SYSTEMS LIMITED,53.34,99.80%,0.01%,0.19%,0.00%
32,The South Indian Bank Limited,51.08,99.82%,0.14%,0.04%,0.00%
33,RBL Bank Ltd.,48.37,99.60%,0.19%,0.21%,0.01%
34,Karur Vysya Bank,46.66,99.58%,0.24%,0.18%,0.02%
35,Tamilnad Mercantile Bank Limited,39.70,98.75%,1.15%,0.10%,0.02%
36,AU small Finance Bank,38.33,98.77%,0.78%,0.45%,0.14%
37,Baroda U.P. Bank,38.03,97.89%,0.26%,1.85%,0.56%
38,KERALA GRAMIN BANK,31.57,99.54%,0.15%,0.32%,0.10%
39,City Union Bank,31.08,98.44%,1.42%,0.14%,0.01%
40,UJJIVAN SMALL FINANCE BANK LIMITED,28.31,99.66%,0.26%,0.08%,0.06%
41,Punjab and Sind Bank,27.98,98.57%,0.76%,0.67%,0.05%
42,Karnataka Gramin Bank,27.43,98.40%,0.86%,0.74%,0.26%
43,Slice Small Finance Bank Ltd,26.50,91.55%,8.29%,0.16%,0.13%
44,Rajasthan Marudhara Gramin Bank,24.36,97.51%,2.13%,0.36%,0.16%
45,SURYODAY SMALL FINANCE BANK LIMITED,21.76,97.37%,2.50%,0.13%,0.05%
46,TELANGANA GRAMEENA BANK,21.72,97.04%,1.72%,1.25%,0.46%
47,CITIBANK CORPORATE,21.45,99.47%,0.45%,0.07%,0.06%
48,CHAITANYA GODAVARI GRAMEENA BANK,21.34,98.88%,0.50%,0.62%,0.11%
49,Maharashtra Gramin Bank,17.24,98.51%,0.07%,1.41%,0.41%
50,ESAF SMALL FINANCE BANK LTD,16.81,99.27%,0.25%,0.49%,0.13%
