UPI Remitter Members - Top 50 Members (Dec'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,"4,540.13",92.94%,6.58%,0.48%,13.76,93.82%
2,HDFC Bank Ltd.,"1,403.46",93.89%,6.02%,0.09%,4.40,99.79%
3,Bank of Baroda,"1,125.93",91.71%,8.19%,0.10%,3.32,98.96%
4,Union Bank of India,"1,070.69",91.91%,7.96%,0.13%,3.40,83.49%
5,Punjab National Bank,954.15,89.81%,9.28%,0.91%,3.59,88.47%
6,Kotak Mahindra Bank,872.07,90.25%,9.70%,0.05%,2.31,93.59%
7,Canara Bank,818.65,91.70%,7.62%,0.68%,3.60,68.86%
8,Axis Bank Ltd.,810.01,93.80%,6.17%,0.03%,1.93,98.02%
9,ICICI Bank Ltd.,700.67,95.17%,4.72%,0.11%,1.69,94.66%
10,Bank Of India,540.44,93.08%,6.82%,0.11%,1.75,92.16%
11,Indian Bank,524.93,92.51%,7.36%,0.13%,1.91,82.89%
12,Airtel Payments Bank Limited,521.02,87.15%,12.67%,0.18%,2.05,97.38%
13,India Post Payments Bank Ltd.,459.83,82.62%,13.15%,4.22%,4.54,32.85%
14,Indian Overseas Bank,257.21,92.36%,6.99%,0.65%,0.97,95.86%
15,Federal Bank Ltd.,245.26,91.87%,8.07%,0.06%,0.56,98.82%
16,Central Bank of India,244.52,85.92%,13.64%,0.43%,0.84,93.32%
17,UCO Bank,225.35,91.63%,8.24%,0.12%,0.80,88.67%
18,Bank of Maharashtra,188.42,92.05%,7.48%,0.48%,0.76,69.76%
19,IDBI Bank Ltd.,186.20,92.96%,6.78%,0.26%,0.67,79.53%
20,Indusind Bank Ltd.,185.78,88.29%,11.53%,0.18%,0.73,79.14%
21,Fino Payments Bank Ltd.,175.75,92.78%,7.14%,0.08%,0.69,93.93%
22,Yes Bank Ltd.,167.84,83.65%,15.97%,0.37%,0.60,54.97%
23,Karnataka Bank,132.76,92.27%,7.65%,0.08%,0.36,98.50%
24,IDFC Bank Ltd.,100.59,90.89%,9.08%,0.03%,0.27,95.77%
25,Karur Vysya Bank,83.14,92.16%,7.44%,0.39%,0.24,87.62%
26,The Jammu & Kashmir Bank Limited,81.64,90.33%,5.78%,3.89%,1.36,51.28%
27,Bandhan Bank limited,76.61,92.36%,5.30%,2.34%,0.66,63.34%
28,Tri O Tech Solutions Private Limited,75.47,100.00%,0.00%,0.00%,0.00,0.00%
29,AU Small Finance Bank,74.62,85.93%,13.75%,0.32%,0.33,69.12%
30,The South Indian Bank Limited,66.90,94.45%,5.46%,0.09%,0.15,98.66%
31,Punjab and Sind Bank,49.27,90.85%,8.92%,0.23%,0.23,91.75%
32,City Union Bank,48.89,92.29%,7.58%,0.13%,0.10,99.74%
33,Ujjivan Small Finance Bank Limited,48.39,94.34%,4.94%,0.72%,0.23,67.99%
34,Tamilnad Mercantile Bank Limited,46.51,92.08%,7.65%,0.27%,0.12,82.67%
35,Kerala Gramin Bank,41.21,88.28%,6.77%,4.95%,0.67,56.93%
36,JIO Payments Bank Ltd,33.99,87.33%,11.83%,0.83%,0.18,97.31%
37,Baroda U.P. Bank,33.15,91.84%,6.86%,1.29%,0.22,64.08%
38,Equitas Small Finance Bank,32.91,91.17%,8.77%,0.06%,0.10,97.59%
39,Karnataka Gramin Bank,32.82,86.77%,8.87%,4.36%,0.51,50.11%
40,DBS Bank India Limited,30.61,92.52%,7.38%,0.10%,0.08,96.48%
41,Andhra Pradesh Grameena Vikas Bank,29.81,84.21%,14.15%,1.64%,0.20,54.38%
42,ESAF Small Finance Bank Ltd,29.55,95.40%,4.57%,0.03%,0.08,98.59%
43,Maharashtra Gramin Bank,29.54,84.90%,12.07%,3.03%,0.16,53.16%
44,Rajasthan Marudhara Gramin Bank,29.43,85.89%,12.33%,1.79%,0.18,62.47%
45,RBL Bank Ltd.,28.58,92.56%,7.22%,0.22%,0.09,71.83%
46,NSDL Payments Bank Limited,28.19,85.11%,13.49%,1.40%,0.24,56.65%
47,Saraswat Co-operative Bank,28.07,93.60%,6.03%,0.37%,0.11,72.60%
48,Standard Chartered Bank,27.55,94.79%,3.92%,1.30%,0.07,84.70%
49,Andhra Pragathi Grameena Bank,26.11,75.39%,13.44%,11.16%,1.03,69.79%
50,Sarva Haryana Gramin Bank,21.42,89.43%,6.11%,4.46%,0.38,60.41%
