UPI Beneficiary Members - Top 50 Members (Mar'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd,"2,638.46",99.93%,0.04%,0.04%,0.00%
2,Paytm Payments Bank,"2,490.22",99.83%,0.16%,0.02%,0.00%
3,State Bank Of India,"1,524.71",99.59%,0.13%,0.28%,0.04%
4,Axis Bank Ltd.,"1,230.70",99.89%,0.11%,0.00%,0.06%
5,ICICI Bank,647.55,99.55%,0.40%,0.05%,0.04%
6,HDFC BANK LTD,643.37,98.79%,1.19%,0.02%,0.02%
7,Bank of Baroda,372.75,99.56%,0.31%,0.13%,0.18%
8,Federal Bank,370.03,99.62%,0.28%,0.11%,0.01%
9,Union Bank of India,357.49,99.01%,0.13%,0.86%,0.30%
10,Punjab National Bank,312.24,99.55%,0.34%,0.11%,0.09%
11,Canara Bank,303.29,98.06%,1.60%,0.35%,0.19%
12,Kotak Mahindra Bank,283.32,99.56%,0.38%,0.06%,0.08%
13,Airtel Payments Bank,231.80,99.54%,0.28%,0.19%,0.03%
14,Indian Bank,225.26,98.93%,0.95%,0.12%,0.14%
15,Bank of India,197.83,99.54%,0.20%,0.26%,0.09%
16,INDUSIND BANK,131.65,99.20%,0.45%,0.36%,0.12%
17,India Post Payment Bank,131.52,95.21%,0.41%,4.38%,0.34%
18,Central Bank Of India,93.29,98.14%,0.40%,1.46%,0.58%
19,Indian Overseas Bank,87.87,97.75%,0.47%,1.78%,0.57%
20,UCO Bank,84.00,98.67%,0.85%,0.48%,0.25%
21,IDBI Bank Limited,65.49,98.13%,0.74%,1.13%,0.16%
22,Fino Payments Bank Limited,63.82,96.00%,2.83%,1.17%,0.19%
23,Bank of Maharashtra,61.24,95.97%,0.19%,3.84%,0.41%
24,RBL Bank Limited,49.38,94.08%,2.96%,2.96%,0.93%
25,Karnataka Bank,46.73,97.72%,1.46%,0.82%,0.10%
26,IDFC FIRST Bank,36.02,98.06%,1.71%,0.23%,0.07%
27,Karur Vysya Bank,35.22,97.58%,1.21%,1.21%,0.21%
28,Bandhan Bank,32.36,98.60%,0.26%,1.14%,0.01%
29,South Indian Bank,32.16,98.07%,1.87%,0.06%,0.02%
30,AU small Finance Bank,30.19,96.15%,2.96%,0.89%,0.19%
31,Jammu and Kashmir Bank,25.44,98.96%,0.78%,0.26%,0.21%
32,Tamilnad Mercantile Bank,24.37,98.31%,0.10%,1.59%,0.27%
33,Tri O Tech Solutions Private Limited,22.15,95.35%,4.60%,0.06%,0.00%
34,Ujjivan Small Finance Bank,21.74,98.73%,1.12%,0.16%,0.12%
35,City Union Bank,21.21,97.61%,2.12%,0.28%,0.04%
36,Punjab and Sind Bank,16.20,95.93%,1.26%,2.81%,0.85%
37,Kerala Gramin Bank,15.07,99.27%,0.28%,0.45%,0.30%
38,Equitas Bank,14.44,97.44%,2.28%,0.28%,0.02%
39,Andhra Pradesh Grameena Vikas Bank,13.56,97.46%,0.65%,1.89%,0.30%
40,Pragathi Krishna Gramin Bank,12.98,98.57%,0.39%,1.04%,0.67%
41,DBS Bank India Limited,12.36,97.79%,1.75%,0.46%,0.15%
42,Maharashtra Gramin Bank,11.89,99.11%,0.35%,0.54%,0.09%
43,Rajasthan Marudhara Gramin Bank,11.79,96.75%,0.47%,2.77%,0.46%
44,Citibank,11.77,99.86%,0.00%,0.14%,0.17%
45,Jio Payments Bank,11.55,98.96%,0.59%,0.45%,0.08%
46,Baroda UP Gramin Bank,11.16,88.76%,0.70%,10.54%,3.51%
47,ESAF Small Finance Bank Ltd.,10.73,99.17%,0.11%,0.72%,0.21%
48,Andhra Pragathi Grameena Bank,9.12,97.42%,0.68%,1.90%,0.05%
49,Sarva Haryana Gramin Bank,7.84,99.22%,0.43%,0.34%,0.00%
50,Saraswat Bank,7.84,97.10%,2.64%,0.27%,0.11%
