UPI Remitter Members - Top 50 Members (Feb'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"3,135.27",94.83%,4.23%,0.94%,13.94,90.58%
2,HDFC BANK LTD,"1,049.59",95.71%,3.60%,0.69%,5.35,75.52%
3,Bank of Baroda,786.15,93.46%,5.51%,1.03%,3.80,90.07%
4,Union Bank of India,754.01,93.80%,4.52%,1.68%,6.41,38.65%
5,Punjab National Bank,628.99,94.85%,4.90%,0.25%,2.50,97.32%
6,ICICI Bank,539.76,96.39%,3.32%,0.29%,2.21,90.34%
7,Axis Bank Ltd.,558.18,96.29%,3.66%,0.05%,1.95,83.76%
8,Kotak Mahindra Bank,609.79,93.10%,5.48%,1.42%,2.22,85.84%
9,Canara Bank,578.21,94.12%,5.42%,0.45%,3.13,84.99%
10,Paytm Payments Bank,294.20,94.39%,5.60%,0.01%,0.66,98.30%
11,Bank of India,389.19,94.55%,4.55%,0.90%,2.12,67.73%
12,Indian Bank,354.82,95.10%,4.63%,0.27%,1.34,92.06%
13,Airtel Payments Bank,344.18,91.11%,8.65%,0.24%,1.30,94.30%
14,India Post Payment Bank,271.05,83.20%,13.00%,3.81%,2.05,52.38%
15,Federal Bank,187.90,95.30%,4.44%,0.26%,0.69,94.65%
16,Central Bank Of India,179.35,82.62%,9.59%,7.80%,4.98,58.09%
17,Indian Overseas Bank,168.40,93.49%,4.67%,1.84%,1.15,90.23%
18,UCO Bank,148.69,94.51%,5.38%,0.11%,0.63,87.67%
19,IDBI Bank Limited,138.33,89.05%,4.39%,6.56%,2.30,71.66%
20,Bank of Maharashtra,135.58,91.92%,4.82%,3.26%,0.92,61.29%
21,INDUSIND BANK,129.68,93.37%,5.92%,0.71%,0.91,95.30%
22,Fino Payments Bank Limited,116.25,90.66%,8.85%,0.49%,0.60,69.94%
23,Yes Bank Ltd,93.40,94.70%,5.06%,0.24%,0.28,86.09%
24,Karnataka Bank,95.34,93.42%,5.76%,0.82%,0.41,84.09%
25,Karur Vysya Bank,60.33,94.05%,5.44%,0.50%,0.25,95.11%
26,Bandhan Bank,49.32,89.80%,6.16%,4.04%,0.56,74.85%
27,South Indian Bank,48.87,96.05%,3.93%,0.02%,0.14,95.53%
28,IDFC FIRST Bank,74.34,93.92%,5.96%,0.11%,0.28,100.00%
29,Jammu and Kashmir Bank,46.57,93.54%,5.16%,1.30%,0.46,35.63%
30,City Union Bank,36.62,93.36%,6.21%,0.43%,0.14,98.29%
31,Ujjivan Small Finance Bank,37.90,93.71%,5.66%,0.63%,0.21,67.81%
32,AU small Finance Bank,38.80,95.09%,4.54%,0.37%,0.21,95.33%
33,Tamilnad Mercantile Bank,32.68,93.01%,6.45%,0.54%,0.12,84.51%
34,Equitas Bank,28.88,93.09%,6.87%,0.04%,0.13,96.46%
35,Standard Chartered,26.59,95.99%,2.23%,1.78%,0.14,67.12%
36,Punjab and Sind Bank,31.49,90.85%,6.00%,3.16%,0.40,39.67%
37,DBS Bank India Limited,24.28,95.35%,4.37%,0.27%,0.09,77.88%
38,Andhra Pradesh Grameena Vikas Bank,26.19,83.85%,15.19%,0.96%,0.14,65.48%
39,Pragathi Krishna Gramin Bank,23.10,88.69%,7.67%,3.64%,0.38,43.13%
40,CITI Bank,18.92,95.17%,4.45%,0.37%,0.07,96.14%
41,Maharashtra Gramin Bank,22.28,86.73%,11.53%,1.75%,0.09,82.26%
42,Kerala Gramin Bank,25.18,90.99%,6.13%,2.88%,0.31,40.08%
43,Saraswat Bank,21.03,95.96%,3.78%,0.25%,0.08,83.40%
44,Tri O Tech Solutions Private Limited,37.89,100.00%,0.00%,0.00%,0.00,0.00%
45,Rajasthan Marudhara Gramin Bank,20.23,88.60%,10.75%,0.66%,0.13,70.74%
46,ESAF Small Finance Bank Ltd.,20.59,91.09%,4.91%,3.99%,0.24,71.75%
47,Baroda UP Gramin Bank,17.10,79.41%,12.40%,8.19%,0.40,44.55%
48,Sarva Haryana Gramin Bank,14.14,93.02%,6.95%,0.03%,0.06,95.68%
49,RBL Bank,15.27,81.63%,8.31%,10.06%,0.26,47.24%
50,Andhra Pragathi Grameena Bank,14.92,87.07%,11.97%,0.96%,0.07,79.19%
