UPI Remitter Members - Top 50 Members (Apr'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
SrNo,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,4850.52,0.9183,0.0742,0.0075,14.48,0.9318
2,HDFC Bank Ltd.,1471.2,0.9426,0.0574,0,5.69,0.9545
3,Bank of Baroda,1243.19,0.8974,0.1025,0.0001,3.92,0.937
4,Union Bank of India,1139.95,0.9134,0.0818,0.0047,4.32,0.6802
5,Punjab National Bank,1033.6,0.909,0.0874,0.0036,4.15,0.8703
6,Kotak Mahindra Bank,917.25,0.9042,0.0958,0,2.27,0.012
7,Canara Bank,876.59,0.9188,0.0797,0.0014,3.12,0.7887
8,Axis Bank Ltd.,837.82,0.9369,0.063,0.0001,1.93,0.9394
9,ICICI Bank Ltd.,697.48,0.9529,0.0468,0.0003,1.59,0.9128
10,Indian Bank,581.43,0.915,0.085,0,1.57,0.8924
11,Bank Of India,578.05,0.9129,0.0779,0.0092,3.05,0.6265
12,Airtel Payments Bank Limited,567.67,0.8313,0.1641,0.0046,2.57,0.8311
13,India Post Payments Bank Limited,554.68,0.8607,0.1373,0.0021,2.35,0.8242
14,Indian Overseas Bank,288.12,0.9205,0.0773,0.0022,0.88,0.9406
15,Central Bank of India,260.39,0.8582,0.1354,0.0064,1.04,0.8221
16,UCO Bank,252.89,0.8927,0.104,0.0033,1,0.8306
17,Federal Bank Ltd.,245.91,0.915,0.0849,0,0.54,0.9594
18,Fino Payments Bank Ltd.,209.14,0.8654,0.1335,0.001,1.03,0.7462
19,Bank of Maharashtra,205.33,0.9215,0.078,0.0005,0.64,0.8429
20,Indusind Bank Ltd.,199.26,0.8817,0.1174,0.001,0.73,0.8198
21,IDBI Bank Ltd.,195.97,0.9272,0.0712,0.0015,0.71,0.8492
22,Yes Bank Ltd.,168.8,0.8921,0.1076,0.0003,0.35,0.8334
23,Karnataka Bank,137.3,0.8951,0.0922,0.0127,1,0.4028
24,IDFC Bank Ltd.,111.75,0.9164,0.0835,0.0001,0.3,0.8621
25,Tri O Tech Solutions Private Limited,99.59,1,0,0,-,0
26,The Jammu & Kashmir Bank Limited,94.27,0.9237,0.0658,0.0105,0.94,0.2683
27,Karur Vysya Bank,87.89,0.9236,0.0744,0.002,0.31,0.7596
28,Bandhan Bank limited,82.44,0.9375,0.0562,0.0064,0.42,0.8531
29,AU Small Finance Bank,73.95,0.8739,0.1234,0.0027,0.34,0.7156
30,The South Indian Bank Limited,66.92,0.9408,0.0591,0.0001,0.27,0.7998
31,Punjab and Sind Bank,54.5,0.9017,0.0936,0.0047,0.29,0.809
32,City Union Bank,52.19,0.9055,0.0918,0.0027,0.13,0.9166
33,Ujjivan Small Finance Bank Limited,51.6,0.9196,0.0709,0.0094,0.32,0.5276
34,Tamilnad Mercantile Bank Limited,50.57,0.9159,0.0827,0.0014,0.23,0.5626
35,JIO Payments Bank Ltd,49.43,0.793,0.2013,0.0058,0.36,0.7943
36,Baroda U.P. Bank,43.04,0.918,0.068,0.014,0.37,0.4596
37,Kerala Gramin Bank,41.93,0.9112,0.0768,0.012,0.28,0.701
38,RBL Bank Ltd.,36.09,0.9276,0.068,0.0045,0.14,0.7567
39,Telangana Grameena Bank,36.07,0.8588,0.1291,0.0121,0.32,0.6478
40,Maharashtra Gramin Bank,35.66,0.8444,0.1284,0.0273,0.26,0.5669
41,Karnataka Gramin Bank,34.52,0.8608,0.1112,0.028,0.51,0.6366
42,Rajasthan Marudhara Gramin Bank,33.47,0.8268,0.1701,0.0031,0.19,0.8133
43,NSDL Payments Bank Limited,33.14,0.7801,0.2066,0.0132,0.24,0.6858
44,DBS Bank India Limited,31.44,0.9181,0.0818,0.0001,0.09,0.8892
45,ESAF Small Finance Bank Ltd,30.46,0.9478,0.0517,0.0005,0.11,0.8971
46,Equitas Small Finance Bank,30.39,0.9012,0.0944,0.0044,0.1,0.8235
47,Saraswat Co-operative Bank,28.81,0.9413,0.0586,0,0.07,0.8993
48,Andhra Pragathi Grameena Bank,28.12,0.8207,0.1271,0.0522,0.64,0.5054
49,Standard Chartered Bank,27.01,0.9452,0.045,0.0097,0.1,0.53
50,Sarva Haryana Gramin Bank,23.95,0.9323,0.0504,0.0173,0.24,0.6523
