UPI Beneficiary Members - Top 50 Members (Sep'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"7,907.07",99.99%,0.00%,0.01%,0.00%
2,State Bank of India,"2,074.86",99.30%,0.14%,0.57%,0.13%
3,Axis Bank Ltd.,"2,009.94",99.85%,0.13%,0.02%,0.02%
4,HDFC Bank Ltd.,997.25,99.03%,0.91%,0.06%,0.01%
5,ICICI Bank Ltd.,548.00,99.63%,0.22%,0.14%,0.04%
6,Bank of Baroda,528.86,99.68%,0.15%,0.17%,0.06%
7,Airtel Payments Bank Limited,486.04,98.06%,1.87%,0.07%,0.04%
8,Union Bank of India,474.03,99.83%,0.09%,0.08%,0.03%
9,Canara Bank,451.48,99.59%,0.12%,0.29%,0.05%
10,Punjab National Bank,442.62,99.65%,0.29%,0.06%,0.08%
11,Kotak Mahindra Bank,370.12,98.72%,1.18%,0.10%,0.03%
12,Federal Bank Ltd.,352.84,99.76%,0.21%,0.02%,0.00%
13,Indian Bank,292.45,98.69%,0.18%,1.12%,0.09%
14,India Post Payments Bank Limited,290.25,96.60%,1.49%,1.91%,0.44%
15,Bank Of India,261.46,98.83%,0.89%,0.28%,0.07%
16,Indusind Bank Ltd.,191.30,99.54%,0.34%,0.12%,0.08%
17,Indian Overseas Bank,158.61,99.48%,0.26%,0.26%,0.11%
18,Unity Small Finance Bank Limited,156.81,99.98%,0.00%,0.02%,0.00%
19,Central Bank of India,142.32,99.12%,0.63%,0.25%,0.13%
20,UCO Bank,120.52,98.87%,0.35%,0.78%,0.20%
21,IDBI Bank Ltd.,82.61,98.66%,0.72%,0.63%,0.03%
22,Bank of Maharashtra,82.49,99.17%,0.50%,0.33%,0.11%
23,Fino Payments Bank Ltd.,79.47,96.90%,1.69%,1.41%,0.05%
24,Tri O Tech Solutions Private Limited,62.77,98.36%,1.34%,0.29%,0.13%
25,Karnataka Bank,61.00,99.68%,0.23%,0.09%,0.03%
26,BANDHAN BANK LIMITED,53.86,99.36%,0.38%,0.27%,0.10%
27,JIO Payments Bank Ltd,52.57,98.60%,1.313%,0.08%,0.04%
28,The Jammu & Kashmir Bank Limited,51.83,99.33%,0.44%,0.23%,0.16%
29,IDFC Bank Ltd.,51.54,98.48%,1.42%,0.10%,0.02%
30,One Mobikwik Systems Limited,51.50,99.92%,0.00%,0.07%,0.00%
31,NSDL Payments Bank Limited,51.00,98.13%,1.41%,0.46%,0.16%
32,The South Indian Bank Limited,46.73,99.49%,0.15%,0.36%,0.02%
33,RBL Bank Ltd.,45.05,99.72%,0.13%,0.15%,0.03%
34,Karur Vysya Bank,44.58,99.58%,0.23%,0.19%,0.03%
35,Tamilnad Mercantile Bank Limited,36.49,99.50%,0.22%,0.28%,0.03%
36,AU Small Finance Bank,34.57,98.83%,0.52%,0.65%,0.10%
37,City Union Bank,30.82,99.31%,0.38%,0.31%,0.01%
38,Kerala Gramin Bank,28.48,95.21%,0.36%,4.44%,1.31%
39,Uttar Pradesh Gramin Bank,26.70,91.39%,0.29%,8.31%,1.64%
40,Punjab and Sind Bank,26.45,97.99%,0.74%,1.28%,0.15%
41,Ujjivan Small Finance Bank Limited,26.10,99.50%,0.20%,0.30%,0.15%
42,Suryoday Small Finance Bank Limited,25.22,97.57%,0.92%,1.51%,0.72%
43,Karnataka Gramin Bank,25.11,77.86%,1.25%,20.89%,0.85%
44,Citi Bank,19.87,99.72%,0.24%,0.04%,0.04%
45,Telangana Grameena Bank,18.56,97.73%,0.40%,1.87%,0.34%
46,Rajasthan Gramin Bank,18.11,97.10%,2.05%,0.86%,0.24%
47,ESAF Small Finance Bank Ltd,15.56,99.42%,0.48%,0.10%,0.04%
48,Maharashtra Gramin Bank,14.82,83.16%,0.08%,16.76%,0.12%
49,Andhra Pragathi Grameena Bank,14.27,96.17%,1.08%,2.75%,0.09%
50,Equitas Small Finance Bank,14.11,97.99%,1.80%,0.21%,0.05%
