UPI Beneficiary Members - Top 50 Members (Oct'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"8,305.17",99.99%,0.00%,0.00%,0.00%
2,State Bank of India,"2,174.27",99.23%,0.16%,0.62%,0.07%
3,Axis Bank Ltd.,"2,122.95",99.86%,0.14%,0.00%,0.00%
4,HDFC Bank Ltd.,"1,097.48",99.29%,0.70%,0.01%,0.00%
5,ICICI Bank Ltd.,575.75,99.67%,0.25%,0.08%,0.03%
6,Bank of Baroda,565.43,99.79%,0.19%,0.02%,0.04%
7,Union Bank of India,499.28,99.89%,0.09%,0.02%,0.02%
8,Airtel Payments Bank Limited,496.22,97.87%,2.11%,0.02%,0.01%
9,Canara Bank,474.74,99.84%,0.15%,0.02%,0.01%
10,Punjab National Bank,466.74,99.57%,0.33%,0.10%,0.03%
11,Kotak Mahindra Bank,395.39,98.76%,1.21%,0.03%,0.01%
12,Federal Bank Ltd.,373.37,99.76%,0.23%,0.01%,0.00%
13,India Post Payments Bank Limited,317.04,97.50%,1.72%,0.78%,0.39%
14,Indian Bank,302.58,99.74%,0.18%,0.07%,0.01%
15,Bank Of India,278.78,98.74%,0.97%,0.29%,0.07%
16,Indusind Bank Ltd.,195.00,99.37%,0.45%,0.18%,0.11%
17,Unity Small Finance Bank Limited,175.73,99.94%,0.00%,0.06%,0.00%
18,Indian Overseas Bank,169.26,99.65%,0.29%,0.06%,0.03%
19,Central Bank of India,153.36,99.14%,0.59%,0.27%,0.16%
20,UCO Bank,126.71,99.01%,0.37%,0.62%,0.04%
21,Bank of Maharashtra,87.52,98.42%,1.47%,0.12%,0.04%
22,Fino Payments Bank Ltd.,86.13,96.58%,1.55%,1.87%,0.03%
23,IDBI Bank Ltd.,84.93,99.33%,0.43%,0.23%,0.01%
24,Tri O Tech Solutions Private Limited,66.48,98.32%,1.61%,0.07%,0.02%
25,JIO Payments Bank Ltd,63.87,98.27%,1.60%,0.13%,0.05%
26,NSDL Payments Bank Limited,63.53,98.18%,1.68%,0.14%,0.07%
27,Karnataka Bank,62.88,99.62%,0.26%,0.13%,0.02%
28,The Jammu & Kashmir Bank Limited,56.86,98.85%,0.61%,0.53%,0.25%
29,BANDHAN BANK LIMITED,55.87,99.47%,0.28%,0.25%,0.12%
30,IDFC Bank Ltd.,53.86,98.36%,1.52%,0.12%,0.02%
31,One Mobikwik Systems Limited,49.38,99.91%,0.00%,0.09%,0.00%
32,The South Indian Bank Limited,48.44,99.84%,0.13%,0.02%,0.01%
33,Karur Vysya Bank,45.31,99.49%,0.32%,0.19%,0.02%
34,Tamilnad Mercantile Bank Limited,37.92,98.67%,0.98%,0.35%,0.03%
35,AU Small Finance Bank,36.70,97.94%,0.52%,1.53%,0.38%
36,RBL Bank Ltd.,36.40,99.82%,0.16%,0.02%,0.01%
37,City Union Bank,31.50,99.50%,0.30%,0.20%,0.01%
38,Uttar Pradesh Gramin Bank,30.67,96.30%,0.40%,3.30%,0.67%
39,Kerala Gramin Bank,29.72,97.98%,0.24%,1.78%,0.39%
40,Punjab and Sind Bank,27.74,94.69%,0.53%,4.78%,0.63%
41,Ujjivan Small Finance Bank Limited,26.99,99.32%,0.23%,0.45%,0.21%
42,Karnataka Gramin Bank,21.83,94.02%,3.43%,2.54%,1.19%
43,Rajasthan Gramin Bank,20.76,97.77%,1.99%,0.25%,0.10%
44,Telangana Grameena Bank,19.64,97.74%,0.50%,1.76%,0.44%
45,Citi Bank,19.50,99.74%,0.24%,0.02%,0.03%
46,Suryoday Small Finance Bank Limited,16.74,98.07%,1.57%,0.36%,0.16%
47,Slice Small Finance Bank,16.42,96.69%,2.88%,0.43%,0.25%
48,ESAF Small Finance Bank Ltd,16.15,99.37%,0.45%,0.18%,0.05%
49,Maharashtra Gramin Bank,15.98,98.72%,0.13%,1.14%,0.30%
50,Equitas Small Finance Bank,15.34,97.83%,1.93%,0.24%,0.06%
