UPI Beneficiary Members - Top 50 Members (Feb'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"8,294.20",99.99%,0.01%,0.01%,0.00%
2,Axis Bank Ltd.,"2,085.54",99.83%,0.15%,0.02%,0.01%
3,State Bank of India,"2,036.74",99.75%,0.20%,0.06%,0.06%
4,HDFC Bank Ltd.,"1,020.13",99.24%,0.65%,0.11%,0.04%
5,Bank of Baroda,558.72,99.44%,0.51%,0.05%,0.03%
6,Union Bank of India,490.27,99.80%,0.13%,0.07%,0.03%
7,Airtel Payments Bank Limited,486.46,94.31%,5.46%,0.23%,0.04%
8,Canara Bank,477.56,99.57%,0.22%,0.21%,0.04%
9,Punjab National Bank,470.22,99.05%,0.36%,0.59%,0.06%
10,ICICI Bank Ltd.,454.62,99.67%,0.25%,0.08%,0.02%
11,Kotak Mahindra Bank,408.03,99.45%,0.46%,0.09%,0.03%
12,Federal Bank Ltd.,356.08,99.79%,0.20%,0.00%,0.00%
13,INDIA POST PAYMENTS BANK LIMITED,345.01,95.75%,3.86%,0.39%,0.12%
14,Indian Bank,303.80,99.81%,0.17%,0.02%,0.01%
15,Bank Of India,275.61,97.90%,1.38%,0.72%,0.12%
16,Indusind Bank Ltd.,186.34,99.37%,0.34%,0.29%,0.13%
17,Unity Small Finance Bank Limited,163.64,99.78%,0.05%,0.17%,0.09%
18,Central Bank of India,157.65,98.73%,0.68%,0.59%,0.19%
19,Indian Overseas Bank,154.43,99.50%,0.28%,0.22%,0.06%
20,UCO Bank,125.00,99.28%,0.41%,0.31%,0.07%
21,NSDL Payments Bank Limited,110.76,96.01%,2.39%,1.60%,0.27%
22,JIO PAYMENTS BANK LTD,100.00,98.05%,1.72%,0.23%,0.07%
23,Fino Payments Bank Ltd.,89.52,96.54%,3.24%,0.22%,0.22%
24,Bank of Maharashtra,85.55,97.87%,2.00%,0.13%,0.02%
25,IDBI Bank Ltd.,80.75,99.25%,0.53%,0.21%,0.01%
26,Tri O Tech Solutions Private Limited,67.88,97.86%,2.13%,0.01%,0.01%
27,Karnataka Bank,60.37,99.02%,0.291%,0.69%,0.05%
28,BANDHAN BANK LIMITED,55.97,99.38%,0.27%,0.35%,0.18%
29,IDFC Bank Ltd.,52.75,98.00%,1.46%,0.55%,0.07%
30,The Jammu & Kashmir Bank Limited,51.88,98.86%,1.06%,0.09%,0.07%
31,ONE MOBIKWIK SYSTEMS LIMITED,51.14,99.70%,0.01%,0.29%,0.01%
32,The South Indian Bank Limited,47.09,99.53%,0.41%,0.05%,0.01%
33,RBL Bank Ltd.,46.99,99.72%,0.12%,0.16%,0.05%
34,Karur Vysya Bank,44.68,99.65%,0.23%,0.12%,0.03%
35,Baroda U.P. Bank,38.59,94.54%,0.25%,5.22%,1.41%
36,Tamilnad Mercantile Bank Limited,37.98,98.23%,1.10%,0.67%,0.03%
37,AU small Finance Bank,36.08,99.05%,0.79%,0.16%,0.05%
38,SURYODAY SMALL FINANCE BANK LIMITED,30.99,97.74%,2.20%,0.06%,0.02%
39,City Union Bank,29.61,98.34%,1.41%,0.25%,0.01%
40,KERALA GRAMIN BANK,29.16,99.42%,0.15%,0.43%,0.13%
41,Slice Small Finance Bank Limited,27.83,91.53%,8.35%,0.12%,0.09%
42,Punjab and Sind Bank,26.85,98.89%,0.76%,0.35%,0.07%
43,UJJIVAN SMALL FINANCE BANK LIMITED,26.80,99.68%,0.26%,0.07%,0.06%
44,Karnataka Gramin Bank,25.10,98.04%,0.47%,1.49%,0.18%
45,Rajasthan Marudhara Gramin Bank,23.41,98.84%,0.50%,0.66%,0.26%
46,CHAITANYA GODAVARI GRAMEENA BANK,20.55,98.10%,0.63%,1.28%,0.34%
47,TELANGANA GRAMEENA BANK,20.23,99.11%,0.25%,0.63%,0.30%
48,CITIBANK CORPORATE,18.59,99.38%,0.51%,0.11%,0.07%
49,Maharashtra Gramin Bank,16.05,98.84%,0.08%,1.08%,0.45%
50,ESAF SMALL FINANCE BANK LTD,15.42,99.49%,0.22%,0.29%,0.07%
