UPI Remitter Members - Top 50 Members (Jan'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"3,128.97",95.62%,4.19%,0.19%,11.58,96.85%
2,HDFC BANK LTD,"1,040.25",96.49%,3.51%,0.00%,3.34,98.84%
3,Bank of Baroda,781.72,95.28%,4.68%,0.04%,2.71,98.54%
4,Union Bank of India,753.66,94.51%,4.34%,1.15%,7.16,46.76%
5,Punjab National Bank,618.95,94.78%,4.95%,0.27%,2.61,88.58%
6,Kotak Mahindra Bank,600.83,93.64%,5.19%,1.17%,2.08,89.49%
7,Canara Bank,572.16,94.18%,5.38%,0.44%,3.02,85.98%
8,Axis Bank Ltd.,559.49,96.11%,3.58%,0.30%,2.66,60.21%
9,ICICI Bank,547.55,96.59%,3.32%,0.08%,1.64,95.72%
10,Paytm Payments Bank,410.06,96.30%,3.70%,0.01%,0.87,98.11%
11,Bank of India,389.29,95.33%,4.59%,0.08%,1.48,91.49%
12,Indian Bank,348.89,95.15%,4.47%,0.37%,1.51,84.37%
13,Airtel Payments Bank,337.05,89.95%,8.98%,1.07%,1.93,69.90%
14,India Post Payment Bank,265.13,82.66%,12.20%,5.14%,1.67,54.81%
15,Federal Bank,185.90,95.53%,4.28%,0.19%,0.65,93.72%
16,Central Bank Of India,178.41,85.44%,9.38%,5.18%,4.29,72.15%
17,Indian Overseas Bank,165.09,94.28%,4.41%,1.31%,0.99,90.36%
18,UCO Bank,152.41,88.37%,7.47%,4.16%,2.33,40.45%
19,IDBI Bank Limited,141.57,92.73%,4.28%,2.98%,1.31,81.40%
20,Bank of Maharashtra,136.29,94.42%,4.61%,0.97%,0.61,76.33%
21,INDUSIND BANK,125.63,93.06%,5.97%,0.97%,0.68,98.66%
22,Fino Payments Bank Limited FIP,115.14,89.66%,9.41%,0.93%,0.63,67.81%
23,Karnataka Bank,97.36,91.93%,7.49%,0.59%,0.42,77.55%
24,Yes Bank Ltd,93.47,94.92%,4.98%,0.10%,0.25,93.00%
25,IDFC FIRST Bank,73.92,94.20%,5.77%,0.03%,0.03,0.00%
26,Karur Vysya Bank,59.56,94.12%,5.54%,0.34%,0.24,92.86%
27,Bandhan Bank,49.22,87.51%,6.16%,6.32%,0.85,68.20%
28,South Indian Bank,48.90,96.35%,3.55%,0.11%,0.14,95.97%
29,Jammu and Kashmir Bank,44.46,91.55%,7.21%,1.24%,0.31,70.87%
30,Ujjivan Small Finance Bank,38.33,92.75%,5.66%,1.59%,0.29,53.05%
31,AU small Finance Bank,37.48,95.19%,4.51%,0.29%,0.17,95.13%
32,Tri O Tech Solutions Private Limited,36.62,100.00%,0.00%,0.00%,0,0
33,City Union Bank,35.87,93.46%,6.23%,0.32%,0.13,94.30%
34,Tamilnad Mercantile Bank,32.19,92.76%,6.99%,0.26%,0.11,92.37%
35,Punjab and Sind Bank,30.87,93.14%,6.10%,0.76%,0.20,73.50%
36,Equitas Bank,28.56,93.04%,6.96%,0.00%,0.11,97.83%
37,Standard Chartered,26.21,97.18%,2.33%,0.50%,0.09,77.36%
38,Andhra Pradesh Grameena Vikas Bank,25.95,86.69%,11.80%,1.51%,0.18,49.75%
39,DBS Bank India Limited,24.57,95.78%,4.11%,0.11%,0.09,77.72%
40,Pragathi Krishna Gramin Bank,24.49,81.75%,7.84%,10.41%,0.30,77.98%
41,Kerala Gramin Bank,23.61,90.10%,5.94%,3.96%,0.25,66.77%
42,Maharashtra Gramin Bank,22.84,84.76%,10.98%,4.26%,0.12,58.10%
43,Saraswat Bank,21.62,94.60%,4.52%,0.87%,0.11,62.88%
44,ESAF Small Finance Bank Ltd.,20.91,88.57%,5.06%,6.37%,0.37,63.82%
45,Rajasthan Marudhara Gramin Bank,20.02,88.02%,11.36%,0.63%,0.09,76.77%
46,Baroda UP Gramin Bank,19.44,54.14%,9.55%,36.31%,1.89,27.81%
47,Citibank,19.38,96.67%,3.07%,0.26%,0.07,99.19%
48,Fincare Small Finance Bank Ltd,17.51,86.69%,12.38%,0.92%,0.09,86.11%
49,RBL Bank,15.89,82.78%,5.54%,11.68%,0.16,69.48%
50,Sarva Haryana Gramin Bank,14.96,92.64%,6.89%,0.47%,0.11,60.36%
