UPI Remitter Members - Top 50 Members (May'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"3,758.35",94.80%,5.01%,0.20%,13.29,98.55%
2,HDFC Bank Ltd,"1,211.41",95.75%,4.19%,0.06%,3.69,98.50%
3,Bank of Baroda,930.35,92.49%,6.56%,0.95%,4.50,84.38%
4,Union Bank of India,876.18,94.38%,5.38%,0.24%,3.38,78.77%
5,Punjab National Bank,785.36,93.64%,6.05%,0.31%,3.19,87.42%
6,Kotak Mahindra Bank,746.83,92.83%,6.78%,0.39%,3.56,63.74%
7,Canara Bank,670.33,92.87%,6.15%,0.98%,5.16,72.09%
8,ICICI Bank,627.63,96.33%,3.62%,0.05%,1.65,95.22%
9,Axis Bank Ltd.,627.47,95.60%,4.39%,0.02%,1.77,95.16%
10,Bank of India,454.54,93.16%,5.16%,1.68%,2.77,61.76%
11,Indian Bank,427.45,94.11%,5.65%,0.24%,1.53,83.49%
12,Airtel Payments Bank,413.75,91.27%,8.20%,0.52%,1.75,96.34%
13,India Post Payment Bank,317.28,86.84%,12.47%,0.70%,1.34,82.16%
14,Federal Bank,212.71,94.09%,5.44%,0.47%,0.75,89.02%
15,Central Bank Of India,206.31,87.26%,11.16%,1.57%,1.59,69.46%
16,Indian Overseas Bank,197.96,94.32%,5.24%,0.44%,0.75,88.54%
17,UCO Bank,184.22,93.72%,6.16%,0.11%,0.72,87.45%
18,IDBI Bank Limited,159.28,94.40%,5.46%,0.14%,0.55,90.23%
19,Bank of Maharashtra,152.68,92.45%,5.48%,2.06%,1.14,57.34%
20,Indusind Bank,150.37,92.32%,7.38%,0.31%,0.96,97.88%
21,Fino Payments Bank Limited,140.12,92.59%,7.19%,0.22%,0.66,75.30%
22,Yes Bank Ltd,121.13,94.05%,5.90%,0.05%,0.30,89.05%
23,Karnataka Bank,110.31,93.24%,6.47%,0.29%,0.41,84.19%
24,IDFC First Bank,87.12,92.89%,7.06%,0.04%,0.27,93.96%
25,Karur Vysya Bank,68.36,93.97%,5.85%,0.18%,0.21,93.36%
26,Jammu and Kashmir Bank,66.17,93.91%,4.48%,1.60%,0.64,32.81%
27,Bandhan Bank,59.24,91.70%,6.70%,1.60%,0.27,96.55%
28,South Indian Bank,54.78,95.49%,4.41%,0.10%,0.14,90.82%
29,Tri O Tech Solutions Private Limited,50.10,100.00%,0.00%,0.00%,0.00,0.00%
30,AU small Finance Bank,47.67,93.42%,5.75%,0.83%,0.25,76.77%
31,Ujjivan Small Finance Bank,45.10,93.75%,5.64%,0.61%,0.22,70.45%
32,City Union Bank,41.63,92.90%,6.73%,0.37%,0.14,99.12%
33,Punjab and Sind Bank,38.16,92.76%,6.89%,0.36%,0.19,82.65%
34,Tamilnad Mercantile Bank,38.01,92.38%,7.19%,0.44%,0.12,79.30%
35,Equitas Small Finance Bank,33.53,92.55%,7.18%,0.27%,0.15,85.61%
36,Andhra Pradesh Grameena Vikas Bank,29.80,85.93%,12.05%,2.02%,0.19,69.54%
37,Kerala Gramin Bank,29.05,92.97%,5.66%,1.37%,0.16,62.06%
38,Pragathi Krishna Gramin Bank,27.76,89.64%,7.36%,3.00%,0.40,55.43%
39,DBS Bank India Limited,27.40,94.26%,5.59%,0.16%,0.09,72.20%
40,Maharashtra Gramin Bank,26.27,86.04%,11.57%,2.39%,0.12,57.65%
41,Rajasthan Marudhara Gramin Bank,25.55,86.55%,11.29%,2.16%,0.23,36.91%
42,Standard Chartered,25.23,96.94%,2.87%,0.18%,0.07,88.23%
43,Saraswat Bank,23.75,95.17%,4.19%,0.64%,0.09,71.49%
44,Baroda UP Gramin Bank,23.63,78.17%,9.63%,12.20%,0.73,18.03%
45,ESAF Small Finance Bank Ltd.,22.91,95.23%,4.54%,0.23%,0.07,98.57%
46,Fincare Small Finance Bank Ltd,21.54,85.62%,13.92%,0.46%,0.10,86.35%
47,Sarva Haryana Gramin Bank,20.85,86.11%,12.06%,1.83%,0.20,39.45%
48,Citi Bank,20.03,96.49%,3.14%,0.37%,0.07,99.11%
49,Andhra Pragathi Grameena Bank,18.23,83.62%,13.00%,3.38%,0.28,22.98%
50,RBL Bank Limited,16.38,89.18%,9.91%,0.92%,0.09,54.47%
