UPI Remitter Members - Top 50 Members (Jan'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,4664.49,0.9122,0.0793,0.0084,15.63,0.9706
2,HDFC Bank Ltd.,1419.33,0.9364,0.0628,0.0008,4.12,0.9891
3,Bank of Baroda,1159.99,0.9122,0.085,0.0028,3.31,0.9733
4,Union Bank of India,1086.26,0.9125,0.0807,0.0068,5.11,0.5675
5,Punjab National Bank,976.62,0.8956,0.1031,0.0013,2.99,0.9861
6,Kotak Mahindra Bank,889.41,0.8973,0.1022,0.0006,2.24,0.8954
7,Canara Bank,835.68,0.9183,0.078,0.0037,3.08,0.7991
8,Axis Bank Ltd.,821.68,0.9347,0.0651,0.0002,1.83,0.9514
9,ICICI Bank Ltd.,692.71,0.9498,0.0496,0.0006,1.36,0.9836
10,Bank Of India,556.22,0.9258,0.0705,0.0037,2.28,0.7253
11,Airtel Payments Bank Limited,553.22,0.8584,0.1372,0.0045,2.47,0.9368
12,Indian Bank,539.83,0.919,0.0804,0.0006,1.33,0.9395
13,India Post Payments Bank Ltd.,496.43,0.8369,0.148,0.0151,2.6,0.5791
14,Indian Overseas Bank,264.2,0.9214,0.0755,0.0031,0.74,0.97
15,Federal Bank Ltd.,250.01,0.9129,0.0847,0.0024,0.5,0.9971
16,Central Bank of India,246.28,0.8569,0.1346,0.0085,1.18,0.7551
17,UCO Bank,231.83,0.9085,0.0899,0.0016,0.8,0.8997
18,Bank of Maharashtra,194.89,0.923,0.0761,0.0009,0.56,0.8999
19,Indusind Bank Ltd.,191.69,0.8762,0.1219,0.0019,0.75,0.7662
20,IDBI Bank Ltd.,188.22,0.9226,0.0749,0.0025,0.6,0.8976
21,Fino Payments Bank Ltd.,185.4,0.918,0.0805,0.0014,0.75,0.9217
22,Yes Bank Ltd.,168.5,0.8422,0.1559,0.0019,0.51,0.5627
23,Karnataka Bank,136.62,0.902,0.0967,0.0014,0.4,0.7439
24,IDFC Bank Ltd.,104.47,0.9066,0.0931,0.0003,0.26,0.9579
25,Karur Vysya Bank,84.1,0.9202,0.0764,0.0034,0.26,0.7272
26,The Jammu & Kashmir Bank Limited,82.35,0.9348,0.0631,0.0021,0.39,0.8126
27,Tri O Tech Solutions Private Limited,78.71,1,0,0,-,0
28,Bandhan Bank limited,78.53,0.9271,0.0528,0.0201,0.42,0.89
29,AU Small Finance Bank,69.84,0.866,0.1225,0.0115,0.48,0.6062
30,The South Indian Bank Limited,67.76,0.941,0.0564,0.0026,0.16,0.8688
31,Punjab and Sind Bank,50.26,0.9033,0.0939,0.0028,0.23,0.8846
32,City Union Bank,49.76,0.9173,0.0811,0.0016,0.1,0.9737
33,Ujjivan Small Finance Bank Limited,49.3,0.9468,0.0495,0.0038,0.17,0.8878
34,Tamilnad Mercantile Bank Limited,47.41,0.9151,0.0831,0.0018,0.1,0.8573
35,Kerala Gramin Bank,41.85,0.916,0.0739,0.0101,0.23,0.6836
36,JIO Payments Bank Ltd,38.84,0.8601,0.1236,0.0163,0.22,0.8924
37,Baroda U.P. Bank,35.83,0.9054,0.0623,0.0323,0.44,0.3252
38,Karnataka Gramin Bank,33.43,0.8615,0.0939,0.0446,0.52,0.7243
39,Rajasthan Marudhara Gramin Bank,31.82,0.8168,0.129,0.0543,0.51,0.2998
40,Maharashtra Gramin Bank,31.62,0.862,0.1211,0.0169,0.12,0.6986
41,Equitas Small Finance Bank,31.07,0.9038,0.0951,0.001,0.09,0.9866
42,DBS Bank India Limited,30.85,0.9201,0.0792,0.0007,0.08,0.961
43,ESAF Small Finance Bank Ltd,30.15,0.9522,0.0446,0.0031,0.09,0.9673
44,RBL Bank Ltd.,29.51,0.919,0.0773,0.0037,0.1,0.6625
45,NSDL Payments Bank Limited,29.28,0.7494,0.2006,0.05,0.47,0.3488
46,Saraswat Co-operative Bank,28.32,0.9324,0.0642,0.0034,0.1,0.6753
47,Standard Chartered Bank,26.87,0.9522,0.0422,0.0056,0.06,0.8254
48,Telangana Grameena Bank,26.64,0.7906,0.1581,0.0513,0.58,0.4127
49,Andhra Pragathi Grameena Bank,25.58,0.7603,0.119,0.1207,0.98,0.3056
50,Sarva Haryana Gramin Bank,21.26,0.9463,0.0463,0.0073,0.12,0.6944
