UPI Beneficiary Members - Top 50 Members (Apr'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd,"5,076.40",99.97%,0.02%,0.01%,0.00%
2,State Bank Of India,"1,512.29",99.01%,0.11%,0.89%,0.18%
3,Axis Bank Ltd.,"1,248.35",99.92%,0.08%,0.00%,0.04%
4,HDFC BANK LTD,625.05,98.74%,1.19%,0.07%,0.02%
5,ICICI Bank,606.73,99.58%,0.40%,0.02%,0.02%
6,Bank of Baroda,376.04,98.51%,1.01%,0.49%,0.31%
7,Federal Bank,373.70,99.74%,0.23%,0.03%,0.00%
8,Union Bank of India,346.48,97.99%,0.13%,1.88%,0.44%
9,Punjab National Bank,311.53,98.62%,0.39%,0.99%,0.20%
10,Canara Bank,297.27,98.17%,1.24%,0.59%,0.21%
11,Kotak Mahindra Bank,283.22,97.82%,1.13%,1.05%,0.33%
12,Airtel Payments Bank,253.57,99.19%,0.23%,0.58%,0.12%
13,Indian Bank,220.90,98.97%,0.91%,0.11%,0.13%
14,Bank of India,197.52,98.76%,0.40%,0.84%,0.16%
15,INDUSIND BANK,124.15,98.54%,0.83%,0.64%,0.10%
16,India Post Payment Bank,111.72,98.04%,1.30%,0.65%,0.31%
17,Central Bank Of India,92.14,97.91%,0.36%,1.73%,0.52%
18,Indian Overseas Bank,87.08,98.24%,0.45%,1.31%,0.35%
19,UCO Bank,84.09,98.49%,0.70%,0.81%,0.09%
20,Fino Payments Bank Limited,65.46,96.15%,3.18%,0.66%,0.07%
21,IDBI Bank Limited,65.04,98.63%,0.44%,0.93%,0.51%
22,Bank of Maharashtra,60.58,98.65%,0.19%,1.16%,0.20%
23,RBL Bank Limited,52.02,97.84%,2.01%,0.15%,0.07%
24,Karnataka Bank,46.09,97.89%,1.23%,0.88%,0.09%
25,IDFC FIRST Bank,35.26,98.60%,1.28%,0.11%,0.04%
26,Karur Vysya Bank,34.16,98.29%,1.19%,0.52%,0.08%
27,Bandhan Bank,33.71,97.87%,0.28%,1.85%,0.07%
28,South Indian Bank,32.20,98.40%,1.49%,0.11%,0.02%
29,AU small Finance Bank,28.54,96.21%,3.06%,0.73%,0.13%
30,Jammu and Kashmir Bank,27.28,99.07%,0.66%,0.28%,0.28%
31,Tamilnad Mercantile Bank,23.83,99.39%,0.10%,0.51%,0.03%
32,Tri O Tech Solutions Private Limited,23.07,95.36%,4.50%,0.15%,0.02%
33,Ujjivan Small Finance Bank,21.39,98.93%,0.92%,0.15%,0.11%
34,City Union Bank,20.60,97.95%,1.82%,0.24%,0.02%
35,Kerala Gramin Bank,14.82,98.92%,0.30%,0.77%,0.54%
36,Punjab and Sind Bank,14.56,92.73%,0.79%,6.48%,2.90%
37,Equitas Small Finance Bank,14.05,98.23%,1.50%,0.27%,0.02%
38,Andhra Pradesh Grameena Vikas Bank,13.65,98.85%,0.56%,0.59%,0.08%
39,Pragathi Krishna Gramin Bank,13.14,97.54%,0.40%,2.07%,1.21%
40,Jio Payments Bank,13.01,98.77%,0.37%,0.86%,0.47%
41,Maharashtra Gramin Bank,11.84,97.53%,0.33%,2.14%,0.29%
42,DBS Bank India Limited,11.43,97.26%,1.79%,0.95%,0.08%
43,Rajasthan Marudhara Gramin Bank,11.34,99.43%,0.38%,0.19%,0.04%
44,Baroda UP Gramin Bank,11.01,88.10%,0.65%,11.26%,2.49%
45,Fincare Small Finance Bank Ltd,10.50,96.19%,3.29%,0.53%,0.05%
46,ESAF Small Finance Bank Ltd.,10.43,99.68%,0.13%,0.19%,0.11%
47,Citi Bank,9.88,99.81%,0.00%,0.19%,0.24%
48,Andhra Pragathi Grameena Bank,9.29,95.43%,1.17%,3.40%,0.12%
49,Sarva Haryana Gramin Bank,7.88,99.00%,0.38%,0.62%,0.16%
50,Saraswat Bank,7.64,96.99%,2.39%,0.62%,0.14%
