UPI Remitter Members - Top 50 Members (Nov'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,"5,514.06",92.79%,6.92%,0.29%,18.57,97.75%
2,HDFC Bank Ltd.,"1,587.84",94.88%,5.10%,0.02%,3.67,93.80%
3,Bank of Baroda,"1,420.10",90.48%,9.41%,0.11%,5.06,96.82%
4,Union Bank of India,"1,274.78",91.99%,7.88%,0.14%,3.87,91.57%
5,Punjab National Bank,"1,130.68",90.30%,9.43%,0.28%,4.67,95.99%
6,Canara Bank,"1,012.47",91.63%,7.70%,0.67%,3.88,79.02%
7,Kotak Mahindra Bank,"1,010.55",91.41%,8.21%,0.38%,3.95,70.97%
8,Axis Bank Ltd.,989.22,94.98%,5.02%,0.00%,2.03,98.48%
9,ICICI Bank Ltd.,743.57,95.93%,3.98%,0.09%,1.38,96.94%
10,India Post Payments Bank Limited,722.11,85.09%,14.21%,0.70%,5.16,76.92%
11,Indian Bank,688.17,91.09%,8.63%,0.28%,2.31,89.63%
12,Airtel Payments Bank Limited,655.90,81.72%,18.05%,0.23%,4.37,94.53%
13,Bank Of India,637.79,92.42%,6.92%,0.66%,2.99,83.83%
14,Indian Overseas Bank,353.99,91.16%,6.79%,2.05%,3.68,78.85%
15,Central Bank of India,334.49,90.40%,8.67%,0.93%,1.96,86.33%
16,UCO Bank,293.38,89.80%,10.11%,0.09%,1.07,93.31%
17,Federal Bank Ltd.,270.16,92.86%,7.11%,0.03%,0.57,98.44%
18,Fino Payments Bank Ltd.,242.83,81.31%,17.35%,1.34%,1.28,91.41%
19,Bank of Maharashtra,228.31,93.27%,6.65%,0.08%,0.66,88.18%
20,Indusind Bank Ltd.,218.34,87.95%,11.30%,0.74%,1.08,74.18%
21,IDBI Bank Ltd.,205.90,93.76%,6.10%,0.14%,0.59,85.48%
22,Yes Bank Ltd.,175.69,90.99%,8.83%,0.17%,0.38,73.48%
23,Tri O Tech Solutions Private Limited,148.71,100.00%,0.00%,0.00%,-,0.00%
24,Karnataka Bank,147.88,92.20%,7.66%,0.13%,0.51,98.75%
25,IDFC Bank Ltd.,121.41,92.87%,7.08%,0.05%,0.30,92.31%
26,The Jammu & Kashmir Bank Limited,102.21,92.45%,6.32%,1.23%,0.85,53.26%
27,Karur Vysya Bank,95.46,92.91%,6.97%,0.12%,0.25,88.84%
28,BANDHAN BANK LIMITED,92.91,94.34%,4.54%,1.12%,0.63,65.61%
29,AU Small Finance Bank,79.93,88.12%,10.93%,0.95%,0.44,75.06%
30,The South Indian Bank Limited,77.11,94.27%,5.49%,0.24%,0.14,91.76%
31,JIO Payments Bank Ltd,75.81,82.97%,15.06%,1.97%,0.84,86.61%
32,Uttar Pradesh Gramin Bank,65.09,91.70%,4.80%,3.50%,0.94,48.08%
33,Punjab and Sind Bank,59.84,90.13%,9.04%,0.83%,0.30,95.90%
34,NSDL Payments Bank Limited,58.75,81.88%,17.43%,0.69%,0.56,89.64%
35,City Union Bank,57.73,92.19%,7.72%,0.08%,0.11,98.90%
36,Tamilnad Mercantile Bank Limited,57.69,92.37%,7.18%,0.45%,0.17,79.53%
37,Ujjivan Small Finance Bank Limited,55.38,90.12%,9.66%,0.22%,0.20,94.77%
38,Kerala Gramin Bank,52.13,92.25%,6.96%,0.78%,0.29,54.51%
39,Rajasthan Gramin Bank,49.22,84.89%,12.28%,2.83%,0.48,58.94%
40,Karnataka Gramin Bank,48.12,87.01%,10.70%,2.29%,0.51,55.91%
41,Telangana Grameena Bank,44.51,88.25%,10.18%,1.57%,0.20,79.41%
42,Slice Small Finance Bank Limited,40.67,95.52%,4.28%,0.20%,0.22,88.89%
43,Maharashtra Gramin Bank,37.47,85.79%,13.44%,0.76%,0.17,58.41%
44,ESAF Small Finance Bank Ltd,34.85,95.30%,4.07%,0.64%,0.13,87.85%
45,Andhra Pradesh Grameena Bank,31.72,89.48%,8.96%,1.56%,0.24,57.35%
46,Saraswat Co-operative Bank,31.18,94.43%,5.13%,0.44%,0.08,80.17%
47,DBS Bank India Limited,30.93,92.40%,7.47%,0.13%,0.08,94.01%
48,RBL Bank Ltd.,28.73,91.68%,7.94%,0.38%,0.07,74.05%
49,Equitas Small Finance Bank,28.07,90.71%,9.09%,0.20%,0.09,96.14%
50,Sarva Haryana Gramin Bank,26.58,92.15%,7.47%,0.39%,0.17,82.97%
