UPI Remitter Members - Top 50 Members (Apr'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"3,581.27",94.10%,5.01%,0.89%,19.18,93.66%
2,HDFC BANK LTD,"1,157.04",95.82%,4.08%,0.09%,4.42,98.73%
3,Bank of Baroda,898.17,90.39%,8.02%,1.59%,8.48,81.39%
4,Union Bank of India,837.24,93.13%,5.28%,1.59%,7.04,45.38%
5,Punjab National Bank,741.90,92.96%,5.93%,1.11%,4.10,83.01%
6,Kotak Mahindra Bank,725.32,91.77%,6.45%,1.78%,7.04,44.42%
7,Canara Bank,642.10,93.39%,5.95%,0.66%,4.15,72.05%
8,Axis Bank Ltd.,609.02,95.74%,4.23%,0.03%,2.10,96.79%
9,ICICI Bank,599.22,96.37%,3.55%,0.08%,2.19,91.25%
10,Bank of India,439.70,93.67%,5.02%,1.31%,2.61,70.73%
11,Indian Bank,407.28,93.97%,5.88%,0.15%,1.67,93.94%
12,Airtel Payments Bank,395.64,90.62%,8.66%,0.72%,2.03,95.18%
13,India Post Payment Bank,270.23,82.88%,15.95%,1.16%,1.90,54.96%
14,Federal Bank,206.55,94.70%,5.26%,0.04%,0.71,99.58%
15,Central Bank Of India,200.60,85.38%,10.79%,3.83%,3.30,45.28%
16,Indian Overseas Bank,187.73,93.24%,5.02%,1.74%,1.25,89.65%
17,UCO Bank,171.92,93.70%,6.14%,0.16%,1.10,80.12%
18,Bank of Maharashtra,151.41,93.14%,5.47%,1.39%,0.97,71.96%
19,IDBI Bank Limited,151.25,94.24%,5.24%,0.51%,1.38,46.04%
20,INDUSIND BANK,150.57,92.05%,7.07%,0.89%,1.03,93.86%
21,Fino Payments Bank Limited,134.12,90.89%,8.59%,0.51%,0.78,75.50%
22,Yes Bank Ltd,106.01,92.93%,6.53%,0.53%,0.41,76.06%
23,Karnataka Bank,105.44,92.61%,6.33%,1.05%,0.62,74.86%
24,IDFC FIRST Bank,83.34,92.89%,6.98%,0.13%,0.00,0.00%
25,Karur Vysya Bank,65.73,93.97%,5.82%,0.22%,0.29,83.65%
26,Jammu and Kashmir Bank,58.65,94.07%,4.77%,1.16%,0.50,40.95%
27,Bandhan Bank,55.96,92.46%,5.73%,1.81%,0.32,96.90%
28,South Indian Bank,52.51,95.40%,4.47%,0.12%,0.16,94.38%
29,Tri O Tech Solutions Private Limited,46.64,100.00%,0.00%,0.00%,0.00,0.00%
30,AU small Finance Bank,45.86,92.76%,6.19%,1.05%,0.30,83.29%
31,Ujjivan Small Finance Bank,42.92,94.15%,5.62%,0.24%,0.20,96.40%
32,City Union Bank,39.67,92.80%,6.91%,0.29%,0.14,95.58%
33,Tamilnad Mercantile Bank,36.11,91.84%,7.57%,0.59%,0.13,87.60%
34,Punjab and Sind Bank,34.51,82.94%,8.05%,9.01%,1.29,23.91%
35,Equitas Bank,32.32,92.77%,7.15%,0.07%,0.15,96.09%
36,Andhra Pradesh Grameena Vikas Bank,29.08,85.16%,13.06%,1.78%,0.19,77.26%
37,Kerala Gramin Bank,27.50,92.37%,6.21%,1.42%,0.20,59.83%
38,Pragathi Krishna Gramin Bank,26.83,88.21%,8.07%,3.72%,0.47,43.83%
39,DBS Bank India Limited,26.42,94.37%,5.46%,0.17%,0.11,80.06%
40,Maharashtra Gramin Bank,25.64,85.76%,11.70%,2.54%,0.14,60.83%
41,Rajasthan Marudhara Gramin Bank,24.19,86.99%,12.02%,0.99%,0.12,80.01%
42,Standard Chartered,24.01,96.49%,2.85%,0.66%,0.09,82.30%
43,Saraswat Bank,23.34,94.90%,4.48%,0.62%,0.11,75.37%
44,Baroda UP Gramin Bank,22.48,75.41%,9.17%,15.41%,0.78,18.33%
45,Fincare Small Finance Bank Ltd,21.68,84.95%,14.46%,0.59%,0.13,90.47%
46,ESAF Small Finance Bank Ltd.,21.48,94.68%,4.92%,0.40%,0.10,92.16%
47,Citi Bank,19.73,96.53%,3.11%,0.36%,0.08,98.72%
48,Sarva Haryana Gramin Bank,18.34,91.76%,7.50%,0.74%,0.12,67.26%
49,Andhra Pragathi Grameena Bank,18.19,79.51%,14.58%,5.92%,0.23,32.75%
50,RBL Bank Limited,15.10,89.02%,10.26%,0.72%,0.00,0.00%
