UPI Beneficiary Members - Top 50 Members (Apr'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"9,176.60",99.99%,0.01%,0.00%,0.00%
2,Axis Bank Ltd.,"2,351.68",99.89%,0.11%,0.00%,0.00%
3,State Bank Of India,"2,212.43",99.66%,0.28%,0.07%,0.08%
4,Hdfc Bank Ltd.,"1,061.72",99.37%,0.61%,0.02%,0.00%
5,Bank Of Baroda,611.46,99.47%,0.45%,0.08%,0.03%
6,Union Bank Of India,537.18,99.86%,0.11%,0.03%,0.01%
7,Punjab National Bank,530.67,99.51%,0.28%,0.21%,0.12%
8,Canara Bank,518.33,99.64%,0.14%,0.21%,0.04%
9,Airtel Payments Bank Limited,514.25,94.40%,5.36%,0.24%,0.08%
10,Kotak Mahindra Bank,454.02,99.48%,0.52%,0.00%,0.00%
11,Icici Bank Ltd.,436.88,99.55%,0.43%,0.02%,0.00%
12,Federal Bank Ltd.,387.57,99.81%,0.18%,0.01%,0.00%
13,India Post Payments Bank Limited ,372.26,98.83%,0.68%,0.49%,0.09%
14,Indian Bank,325.72,99.84%,0.10%,0.06%,0.03%
15,Bank Of India,297.72,99.08%,0.91%,0.01%,0.11%
16,Indusind Bank Ltd.,197.81,98.57%,1.36%,0.07%,0.08%
17,Unity Small Finance Bank Limited,183.75,99.47%,0.02%,0.51%,0.12%
18,Central Bank Of India,174.56,98.70%,0.44%,0.86%,0.34%
19,Indian Overseas Bank,168.04,99.53%,0.31%,0.16%,0.06%
20,Uco Bank,132.74,99.36%,0.43%,0.21%,0.08%
21,Nsdl Payments Bank Limited,117.56,98.09%,0.84%,1.06%,0.30%
22,Bank Of Maharashtra,91.58,97.82%,1.94%,0.24%,0.06%
23,Idbi Bank Ltd.,85.79,99.36%,0.47%,0.17%,0.01%
24,Jio Payments Bank Ltd,83.96,98.91%,0.86%,0.23%,0.08%
25,Tri O Tech Solutions Private Limited,80.01,99.17%,0.48%,0.35%,0.12%
26,Fino Payments Bank Ltd.,78.20,96.12%,3.16%,0.72%,0.06%
27,Karnataka Bank,64.69,99.68%,0.26%,0.06%,0.02%
28,The Jammu & Kashmir Bank Limited,62.47,99.15%,0.80%,0.05%,0.04%
29,Bandhan Bank Limited,60.31,99.46%,0.21%,0.32%,0.21%
30,Idfc Bank Ltd.,58.42,98.77%,1.18%,0.05%,0.02%
31,One Mobikwik Systems Limited,58.06,99.79%,0.01%,0.20%,0.02%
32,Karur Vysya Bank,55.07,99.68%,0.15%,0.17%,0.08%
33,The South Indian Bank Limited,49.43,99.80%,0.13%,0.07%,0.01%
34,Rbl Bank Ltd.,49.02,99.64%,0.12%,0.24%,0.03%
35,Baroda U.P. Bank,44.67,97.61%,0.27%,2.12%,0.69%
36,Suryoday Small Finance Bank Limited,40.28,98.44%,1.46%,0.10%,0.03%
37,Tamilnad Mercantile Bank Limited,39.69,98.78%,0.86%,0.35%,0.01%
38,Au Small Finance Bank,38.85,97.92%,1.42%,0.66%,0.03%
39,Slice Small Finance Bank Limited,35.78,93.01%,6.62%,0.37%,0.06%
40,City Union Bank,31.12,99.17%,0.55%,0.28%,0.03%
41,Kerala Gramin Bank,31.06,99.64%,0.12%,0.24%,0.14%
42,Punjab And Sind Bank,29.02,99.12%,0.66%,0.22%,0.06%
43,Ujjivan Small Finance Bank Limited,28.89,99.19%,0.19%,0.61%,0.11%
44,Karnataka Gramin Bank,27.31,97.74%,0.50%,1.77%,0.73%
45,Rajasthan Marudhara Gramin Bank,25.72,98.08%,0.48%,1.44%,0.65%
46,Chaitanya Godavari Grameena Bank,24.07,98.72%,0.58%,0.70%,0.26%
47,Telangana Grameena Bank,22.94,99.36%,0.27%,0.38%,0.29%
48,Citibank Corporate,21.62,99.20%,0.51%,0.29%,0.18%
49,Maharashtra Gramin Bank,18.79,99.17%,0.07%,0.76%,0.43%
50,Esaf Small Finance Bank Ltd,16.37,98.58%,0.15%,1.27%,0.34%
