UPI Beneficiary Members - Top 50 Members (Mar'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr No.,UPI Beneficiary  banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,7307.36,0.9998,0.0001,0.0001,0
2,Axis Bank Ltd.,1899.35,0.997,0.0017,0.0014,0.0009
3,State Bank of India,1859.07,0.9914,0.001,0.0075,0.0016
4,HDFC Bank Ltd.,876.97,0.9925,0.007,0.0005,0.0006
5,ICICI Bank Ltd.,611.58,0.9967,0.0024,0.0009,0.0002
6,Bank of Baroda,492.7,0.9988,0.0007,0.0005,0.0006
7,Union Bank of India,458.94,0.9986,0.001,0.0004,0.0004
8,Canara Bank,440.1,0.9968,0.002,0.0012,0.0004
9,Airtel Payments Bank Limited,419.54,0.9888,0.0091,0.0021,0.0008
10,Punjab National Bank,419.12,0.9943,0.0029,0.0027,0.0022
11,Federal Bank Ltd.,407.79,0.9975,0.0017,0.0008,0
12,Kotak Mahindra Bank,354.55,0.9889,0.0109,0.0002,0.0002
13,Indian Bank,272.99,0.9947,0.0033,0.002,0.0009
14,Bank Of India,256.53,0.9853,0.0102,0.0046,0.0014
15,India Post Payments Bank Limited,248.71,0.9859,0.0106,0.0035,0.0016
16,Indusind Bank Ltd.,176,0.996,0.003,0.0011,0.0005
17,Indian Overseas Bank,144.84,0.9928,0.0048,0.0025,0.0021
18,Central Bank of India,123.4,0.993,0.0055,0.0015,0.0009
19,Fino Payments Bank Ltd.,109.36,0.9601,0.0381,0.0018,0.0011
20,UCO Bank,109.28,0.9934,0.0054,0.0012,0.0003
21,IDBI Bank Ltd.,98.38,0.997,0.0025,0.0004,0.0001
22,Bank of Maharashtra,93.68,0.9947,0.0028,0.0025,0.001
23,RBL Bank Ltd.,85.36,0.9933,0.0009,0.0058,0.0029
24,Karnataka Bank,69.07,0.9914,0.003,0.0056,0.0017
25,One Mobikwik Systems Limited,51.92,0.9995,0,0.0004,0
26,The Jammu & Kashmir Bank Limited,51.57,0.9901,0.0043,0.0055,0.0061
27,Bandhan Bank limited,48.45,0.9722,0.0033,0.0245,0.0039
28,IDFC Bank Ltd.,45.9,0.9891,0.0105,0.0005,0.0002
29,Karur Vysya Bank,44.17,0.9946,0.0028,0.0026,0.0004
30,Tri O Tech Solutions Private Limited,43.48,0.9767,0.0231,0.0002,0.0002
31,The South Indian Bank Limited,43.07,0.9978,0.0013,0.0009,0.0002
32,Unity Small Finance Bank Limited,41.03,0.9996,0.0001,0.0003,0.0002
33,Tamilnad Mercantile Bank Limited,37.74,0.9934,0.0012,0.0054,0.0016
34,AU Small Finance Bank,34.42,0.9944,0.0052,0.0004,0.0003
35,NSDL Payments Bank Limited,32.6,0.9645,0.0083,0.0272,0.012
36,City Union Bank,30.84,0.9927,0.0057,0.0016,0.0001
37,JIO Payments Bank Ltd,27.71,0.9542,0.0082,0.0375,0.0101
38,Punjab and Sind Bank,26.55,0.9687,0.0247,0.0066,0.0019
39,Ujjivan Small Finance Bank Limited,26.53,0.9932,0.0023,0.0045,0.0024
40,Kerala Gramin Bank,24.7,0.9887,0.0016,0.0097,0.0058
41,Citi Bank,22.11,0.9963,0.0031,0.0006,0.0003
42,Suryoday Small Finance Bank Limited,21.22,0.979,0.0114,0.0095,0.0045
43,Baroda U.P. Bank,20.99,0.9737,0.0025,0.0238,0.0045
44,Telangana Grameena Bank,16.74,0.9758,0.0064,0.0178,0.0058
45,Karnataka Gramin Bank,16.25,0.9926,0.0016,0.0058,0.0054
46,Maharashtra Gramin Bank,15.36,0.9835,0.0018,0.0147,0.0073
47,Equitas Small Finance Bank,14.84,0.9788,0.0166,0.0046,0.0004
48,ESAF Small Finance Bank Ltd,14.74,0.9616,0.0018,0.0366,0.0053
49,Rajasthan Marudhara Gramin Bank,13.49,0.9497,0.0385,0.0118,0.0024
50,Andhra Pragathi Grameena Bank,13.42,0.9761,0.0029,0.021,0.0016
