UPI Remitter Members - Top 50 Members (Jun'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,6316.41,91.07%,8.68%,0.24%,21.46,98.75%
2,Bank of Baroda,1693.24,86.69%,12.73%,0.59%,7.24,95.72%
3,HDFC Bank Ltd.,1674.91,93.23%,6.76%,0.01%,4.01,97.27%
4,Union Bank of India,1482.26,90.03%,9.86%,0.12%,5.5,84.64%
5,Punjab National Bank,1386.96,88.52%,10.64%,0.85%,7.22,97.79%
6,Canara Bank,1184.48,90.72%,9.12%,0.15%,4.46,87.34%
7,Kotak Mahindra Bank,1134.44,88.99%,11.00%,0.01%,3.74,94.53%
8,Axis Bank Ltd.,1027.17,93.24%,6.75%,0.01%,2.47,98.87%
9,India Post Payments Bank Limited ,880.55,82.00%,17.95%,0.06%,6.49,92.88%
10,Indian Bank,783.26,88.52%,11.25%,0.23%,2.7,73.06%
11,ICICI Bank Ltd.,766.11,95.22%,4.74%,0.04%,1.68,92.14%
12,Airtel Payments Bank Limited,743.43,73.99%,25.85%,0.17%,5.62,96.21%
13,Bank Of India,736.01,90.73%,8.96%,0.31%,3.35,87.46%
14,Indian Overseas Bank,439.77,89.55%,9.42%,1.03%,1.43,98.97%
15,Central Bank of India,427.37,87.59%,11.73%,0.68%,2.59,79.93%
16,UCO Bank,341.95,87.57%,12.34%,0.09%,1.49,95.48%
17,Federal Bank Ltd.,291.75,89.92%,10.04%,0.03%,0.67,99.80%
18,Fino Payments Bank Ltd.,279.67,76.13%,23.33%,0.54%,1.87,93.99%
19,Bank of Maharashtra,258.36,90.70%,8.96%,0.33%,0.88,86.45%
20,Indusind Bank Ltd.,254.5,85.11%,14.82%,0.07%,1.2,83.10%
21,IDBI Bank Ltd.,229.43,91.30%,8.55%,0.15%,0.98,69.46%
22,Tri O Tech Solutions Private Limited,192.35,100.00%,0.00%,0.00%,-,00.00%
23,Yes Bank Ltd.,169.88,91.98%,7.85%,0.17%,0.38,86.84%
24,IDFC Bank Ltd.,164.31,92.53%,7.42%,0.05%,0.35,95.29%
25,Karnataka Bank,162.68,90.01%,9.93%,0.05%,0.59,91.13%
26,The Jammu & Kashmir Bank Limited,121.65,91.93%,7.97%,0.10%,0.6,80.80%
27,Karur Vysya Bank,108.75,92.38%,7.46%,0.16%,0.38,83.86%
28,JIO PAYMENTS BANK LTD,102.76,78.30%,21.57%,0.14%,1.49,98.74%
29,BANDHAN BANK LIMITED,100.63,94.25%,5.58%,0.17%,0.65,80.86%
30,AU small Finance Bank,94.61,86.13%,13.65%,0.23%,0.4,95.24%
31,Baroda U.P. Bank,93.81,89.93%,6.43%,3.65%,2.77,43.14%
32,Slice Small Finance Bank Limited,90.55,94.25%,5.71%,0.04%,0.29,88.41%
33,The South Indian Bank Limited,84.02,93.25%,6.67%,0.08%,0.15,98.35%
34,NSDL Payments Bank Limited,81.77,75.17%,23.96%,0.87%,1.33,90.81%
35,Punjab and Sind Bank,72.31,84.08%,12.81%,3.11%,0.4,90.35%
36,Rajasthan Marudhara Gramin Bank,69.82,83.28%,15.20%,1.52%,0.48,94.64%
37,Tamilnad Mercantile Bank Limited,67.91,90.39%,8.49%,1.12%,0.19,90.27%
38,Slice Small Finance Bank Limited,65.27,86.18%,13.51%,0.31%,0.3,92.18%
39,City Union Bank,63.42,91.38%,8.42%,0.20%,0.19,99.85%
40,Karnataka Gramin Bank,62.32,87.17%,11.42%,1.42%,0.36,55.12%
41,KERALA GRAMIN BANK,61.2,91.97%,7.10%,0.92%,0.16,89.49%
42,TELANGANA GRAMEENA BANK,57.9,79.86%,14.07%,6.07%,0.17,90.28%
43,CHAITANYA GODAVARI GRAMEENA BANK,51.04,88.65%,11.22%,0.14%,0.4,42.77%
44,Maharashtra Gramin Bank,44.47,81.90%,15.10%,3.00%,0.35,37.78%
45,ESAF SMALL FINANCE BANK LTD,37.65,94.55%,3.42%,2.03%,0.18,91.69%
46,Saraswat Co-operative Bank,34.51,92.58%,6.34%,1.08%,0.12,74.63%
47,DBS Bank India Limited,31.84,90.61%,9.33%,0.05%,0.1,94.05%
48,SARVA HARYANA GRAMIN BANK,30.99,88.74%,9.62%,1.64%,0.22,84.51%
49,EQUITAS SMALL FINANCE BANK,29.99,87.82%,11.73%,0.45%,0.11,94.56%
50,One Mobikwik Systems Limited,27.63,100.00%,0.00%,0.00%,-,00.00%
