month_year,bank_name,role_type,total_volume_mn,approved_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,total_decline_pct
2024-01,Tamilnad Mercantile Bank,Remitter,32.19,29.86,92.76,26,6.99,32.99
2024-01,Punjab and Sind Bank,Remitter,30.87,28.75,93.14,76,6.1,82.1
2024-01,Equitas Bank,Remitter,28.56,26.57,93.04,0,6.96,6.96
2024-01,Standard Chartered,Remitter,26.21,25.47,97.18,50,2.33,52.33
2024-01,Andhra Pradesh Grameena Vikas Bank,Remitter,25.95,22.5,86.69,1.51,11.8,13.31
2024-01,DBS Bank India Limited,Remitter,24.57,23.53,95.78,11,4.11,15.11
2024-01,Pragathi Krishna Gramin Bank,Remitter,24.49,20.02,81.75,10.41,7.84,18.25
2024-01,Kerala Gramin Bank,Remitter,23.61,21.27,90.1,3.96,5.94,9.9
2024-01,Maharashtra Gramin Bank,Remitter,22.84,19.36,84.76,4.26,10.98,15.24
2024-01,Saraswat Bank,Remitter,21.62,20.45,94.6,87,4.52,91.52
2024-01,ESAF Small Finance Bank Ltd.,Remitter,20.91,18.52,88.57,6.37,5.06,11.43
2024-01,Rajasthan Marudhara Gramin Bank,Remitter,20.02,17.62,88.02,63,11.36,74.36
2024-01,Baroda UP Gramin Bank,Remitter,19.44,10.52,54.14,36.31,9.55,45.86
2024-01,Citibank,Remitter,19.38,18.73,96.67,26,3.07,29.07
2024-01,Fincare Small Finance Bank Ltd,Remitter,17.51,15.18,86.69,92,12.38,104.38
2024-01,RBL Bank,Remitter,15.89,13.15,82.78,11.68,5.54,17.22
2024-01,Sarva Haryana Gramin Bank,Remitter,14.96,13.86,92.64,47,6.89,53.89
2025-01,State Bank of India,Remitter,4664.49,4254.95,91.22,0.84,7.93,8.77
2025-01,HDFC Bank Ltd.,Remitter,1419.33,1329.06,93.64,0.08,6.28,6.36
2025-01,Bank of Baroda,Remitter,1159.99,1058.14,91.22,0.28,8.5,8.78
2025-01,Union Bank of India,Remitter,1086.26,991.21,91.25,0.68,8.07,8.75
2025-01,Punjab National Bank,Remitter,976.62,874.66,89.56,0.13,10.31,10.44
2025-01,Kotak Mahindra Bank,Remitter,889.41,798.07,89.73,0.06,10.22,10.28
2025-01,Canara Bank,Remitter,835.68,767.4,91.83,0.37,7.8,8.17
2025-01,Axis Bank Ltd.,Remitter,821.68,768.02,93.47,0.02,6.51,6.53
2025-01,ICICI Bank Ltd.,Remitter,692.71,657.94,94.98,0.06,4.96,5.02
2025-01,Bank Of India,Remitter,556.22,514.95,92.58,0.37,7.05,7.42
2025-01,Airtel Payments Bank Limited,Remitter,553.22,474.88,85.84,0.45,13.72,14.17
2025-01,Indian Bank,Remitter,539.83,496.1,91.9,0.06,8.04,8.1
2025-01,India Post Payments Bank Ltd.,Remitter,496.43,415.46,83.69,1.51,14.8,16.31
2025-01,Indian Overseas Bank,Remitter,264.2,243.43,92.14,0.31,7.55,7.86
2025-01,Federal Bank Ltd.,Remitter,250.01,228.23,91.29,0.24,8.47,8.71
2025-01,Central Bank of India,Remitter,246.28,211.04,85.69,0.85,13.46,14.31
2025-01,UCO Bank,Remitter,231.83,210.62,90.85,0.16,8.99,9.15
2025-01,Bank of Maharashtra,Remitter,194.89,179.88,92.3,0.09,7.61,7.7
2025-01,Indusind Bank Ltd.,Remitter,191.69,167.96,87.62,0.19,12.19,12.38
2025-01,IDBI Bank Ltd.,Remitter,188.22,173.65,92.26,0.25,7.49,7.74
2025-01,Fino Payments Bank Ltd.,Remitter,185.4,170.2,91.8,0.14,8.05,8.19
2025-01,Yes Bank Ltd.,Remitter,168.5,141.91,84.22,0.19,15.59,15.78
2025-01,Karnataka Bank,Remitter,136.62,123.23,90.2,0.14,9.67,9.81
2025-01,IDFC Bank Ltd.,Remitter,104.47,94.71,90.66,0.03,9.31,9.34
2025-01,Karur Vysya Bank,Remitter,84.1,77.39,92.02,0.34,7.64,7.98
2025-01,The Jammu & Kashmir Bank Limited,Remitter,82.35,76.98,93.48,0.21,6.31,6.52
2025-01,Tri O Tech Solutions Private Limited,Remitter,78.71,78.71,100,0,0,0
2025-01,Bandhan Bank limited,Remitter,78.53,72.81,92.71,2.01,5.28,7.29
2025-01,AU Small Finance Bank,Remitter,69.84,60.48,86.6,1.15,12.25,13.4
2025-01,The South Indian Bank Limited,Remitter,67.76,63.76,94.1,0.26,5.64,5.9
2025-01,Punjab and Sind Bank,Remitter,50.26,45.4,90.33,0.28,9.39,9.67
2025-01,City Union Bank,Remitter,49.76,45.64,91.73,0.16,8.11,8.27
2025-01,Ujjivan Small Finance Bank Limited,Remitter,49.3,46.68,94.68,0.38,4.95,5.33
2025-01,Tamilnad Mercantile Bank Limited,Remitter,47.41,43.38,91.51,0.18,8.31,8.49
2025-01,Kerala Gramin Bank,Remitter,41.85,38.33,91.6,1.01,7.39,8.4
2025-01,JIO Payments Bank Ltd,Remitter,38.84,33.41,86.01,1.63,12.36,13.99
2025-01,Baroda U.P. Bank,Remitter,35.83,32.44,90.54,3.23,6.23,9.46
2025-01,Karnataka Gramin Bank,Remitter,33.43,28.8,86.15,4.46,9.39,13.85
2025-01,Rajasthan Marudhara Gramin Bank,Remitter,31.82,25.99,81.68,5.43,12.9,18.33
2025-01,Maharashtra Gramin Bank,Remitter,31.62,27.26,86.2,1.69,12.11,13.8
2025-01,Equitas Small Finance Bank,Remitter,31.07,28.08,90.38,0.1,9.51,9.61
2025-01,DBS Bank India Limited,Remitter,30.85,28.39,92.01,0.07,7.92,7.99
2025-01,ESAF Small Finance Bank Ltd,Remitter,30.15,28.71,95.22,0.31,4.46,4.77
2025-01,RBL Bank Ltd.,Remitter,29.51,27.12,91.9,0.37,7.73,8.1
2025-01,NSDL Payments Bank Limited,Remitter,29.28,21.94,74.94,5,20.06,25.06
2025-01,Saraswat Co-operative Bank,Remitter,28.32,26.41,93.24,0.34,6.42,6.76
2025-01,Standard Chartered Bank,Remitter,26.87,25.59,95.22,0.56,4.22,4.78
2025-01,Telangana Grameena Bank,Remitter,26.64,21.06,79.06,5.13,15.81,20.94
2025-01,Andhra Pragathi Grameena Bank,Remitter,25.58,19.45,76.03,12.07,11.9,23.97
2025-01,Sarva Haryana Gramin Bank,Remitter,21.26,20.12,94.63,0.73,4.63,5.36
2026-01,State Bank of India,Remitter,5855.79,5391.43,92.07,32,7.61,39.61
2026-01,HDFC Bank Ltd.,Remitter,1651.17,1553.42,94.08,5,5.87,10.87
2026-01,Bank of Baroda,Remitter,1542.14,1379.6,89.46,1,10.53,11.53
2026-01,Union Bank of India,Remitter,1353.05,1231.68,91.03,24,8.72,32.72
2026-01,Punjab National Bank,Remitter,1222.89,1083.24,88.58,54,10.88,64.88
2026-01,Canara Bank,Remitter,1093.77,993.47,90.83,55,8.63,63.63
2026-01,Kotak Mahindra Bank,Remitter,1091.42,985.22,90.27,0,9.73,9.73
2026-01,Axis Bank Ltd.,Remitter,1016.49,957.74,94.22,0,5.78,5.78
2026-01,INDIA POST PAYMENTS BANK LIMITED,Remitter,832.71,683.49,82.08,64,17.28,81.28
2026-01,ICICI Bank Ltd.,Remitter,764.26,728.26,95.29,40,4.3,44.3
2026-01,Indian Bank,Remitter,738.42,670.19,90.76,19,9.05,28.05
2026-01,Airtel Payments Bank Limited,Remitter,738.09,582.65,78.94,18,20.89,38.89
2026-01,Bank Of India,Remitter,687.39,633.91,92.22,5,7.73,12.73
2026-01,Indian Overseas Bank,Remitter,383.18,350.95,91.59,21,8.2,29.2
2026-01,Central Bank of India,Remitter,373.55,334.92,89.66,28,10.06,38.06
2026-01,UCO Bank,Remitter,316.57,280.7,88.67,2,11.31,13.31
2026-01,Federal Bank Ltd.,Remitter,290.33,267.22,92.04,3,7.93,10.93
2026-01,Bank of Maharashtra,Remitter,246.23,227.74,92.49,1,7.5,8.5
2026-01,Indusind Bank Ltd.,Remitter,237.56,207.06,87.16,16,12.68,28.68
2026-01,Fino Payments Bank Ltd.,Remitter,229.08,179.42,78.32,77,20.92,97.92
2026-01,IDBI Bank Ltd.,Remitter,218.9,203.29,92.87,15,6.98,21.98
2026-01,Yes Bank Ltd.,Remitter,172.58,157.29,91.14,6,8.8,14.8
2026-01,Tri O Tech Solutions Private Limited,Remitter,159.92,159.92,100,0,0,0
2026-01,Karnataka Bank,Remitter,155.9,141.35,90.67,24,9.09,33.09
2026-01,IDFC Bank Ltd.,Remitter,131.03,120.8,92.19,2,7.78,9.78
2026-01,The Jammu & Kashmir Bank Limited,Remitter,105.46,97,91.98,31,7.71,38.71
2026-01,Karur Vysya Bank,Remitter,101.3,93.51,92.31,13,7.55,20.55
2026-01,BANDHAN BANK LIMITED,Remitter,99.04,94.31,95.22,29,4.49,33.49
