UPI Remitter Members - Top 50 Members (Sep'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"4,067.05",93.90%,5.35%,0.75%,15.24,95.22%
2,HDFC BANK LTD,"1,267.31",95.36%,4.62%,0.02%,3.28,99.66%
3,Bank of Baroda,996.46,92.87%,7.01%,0.11%,2.75,98.59%
4,Union Bank of India,928.30,93.16%,6.36%,0.47%,4.67,53.00%
5,Punjab National Bank,851.00,92.20%,7.69%,0.11%,2.70,95.21%
6,Kotak Mahindra Bank,771.17,91.78%,7.55%,0.68%,2.13,86.79%
7,Axis Bank Ltd.,739.08,95.40%,4.54%,0.05%,1.70,99.18%
8,Canara Bank,724.35,93.23%,6.32%,0.44%,2.50,91.72%
9,ICICI Bank Ltd.,642.30,96.31%,3.67%,0.02%,1.43,97.81%
10,Bank of India,480.33,93.98%,5.57%,0.45%,2.04,72.57%
11,Indian Bank,466.01,94.03%,5.87%,0.11%,1.44,89.97%
12,Airtel Payments Bank Ltd,449.25,89.91%,9.82%,0.27%,1.74,97.12%
13,India Post Payments Bank Ltd,370.25,87.95%,11.48%,0.58%,1.30,93.30%
14,Indian Overseas Bank,221.41,91.62%,5.67%,2.71%,2.53,83.77%
15,Federal Bank Ltd.,220.03,94.15%,5.81%,0.04%,0.58,99.00%
16,Central Bank Of India,219.42,87.43%,11.13%,1.45%,1.27,84.32%
17,UCO Bank,202.25,91.83%,7.48%,0.70%,0.81,74.19%
18,IDBI Bank,167.82,93.46%,5.98%,0.55%,0.75,80.34%
19,INDUSIND BANK Ltd.,165.88,91.52%,8.37%,0.11%,0.66,93.54%
20,Bank of Maharashtra,165.00,93.33%,6.37%,0.30%,0.60,72.66%
21,Fino Payments Bank Limited,154.66,92.79%,7.09%,0.12%,0.62,90.32%
22,Yes Bank Ltd.,131.04,94.14%,5.69%,0.16%,0.33,73.57%
23,Karnataka Bank,117.35,93.35%,6.47%,0.18%,0.35,89.55%
24,IDFC First Bank Ltd,89.72,93.65%,6.14%,0.22%,0.40,60.52%
25,Karur Vysya Bank,73.53,92.19%,6.56%,1.25%,0.37,81.06%
26,AU small Finance Bank,69.23,91.09%,8.74%,0.17%,0.18,90.37%
27,The Jammu & Kashmir Bank Limited,69.03,92.85%,5.24%,1.90%,0.76,28.28%
28,Bandhan Bank Limited,68.05,92.88%,5.45%,1.67%,0.40,76.70%
29,Tri O Tech Solutions Private Limited,61.00,100.00%,0.00%,0.00%,-,-
30,The South Indian Bank Limited,60.27,95.12%,4.80%,0.09%,0.15,99.29%
31,Ujjivan Small Finance Bank Limited,45.35,94.46%,5.22%,0.32%,0.15,92.62%
32,City Union Bank,44.30,92.88%,6.54%,0.58%,0.16,90.24%
33,Punjab and Sind Bank,43.54,91.88%,7.47%,0.65%,0.24,77.00%
34,Tamilnad Mercantile Bank Limited,41.41,92.63%,7.01%,0.36%,0.14,78.15%
35,Kerala Gramin Bank,35.02,91.51%,6.35%,2.15%,0.31,80.81%
36,Equitas Small Finance Bank Ltd,32.20,92.96%,6.98%,0.06%,0.11,95.27%
37,Andhra Pradesh Grameena Vikas Bank,29.88,86.57%,12.21%,1.23%,0.13,63.57%
38,Pragathi Krishna Gramin Bank,28.74,88.68%,7.74%,3.57%,0.42,70.44%
39,DBS Bank India Limited,27.93,93.71%,6.27%,0.02%,0.08,98.09%
40,Baroda UP Gramin Bank,26.48,92.16%,7.56%,0.28%,0.10,91.42%
41,Maharashtra Gramin Bank,25.95,86.61%,12.16%,1.23%,0.10,76.44%
42,Rajasthan Marudhara Gramin Bank,25.85,86.65%,10.52%,2.83%,0.16,65.99%
43,ESAF Small Finance Bank Ltd.,25.76,95.46%,4.43%,0.11%,0.09,94.77%
44,Standard Chartered Bank,25.65,96.49%,2.95%,0.56%,0.14,51.96%
45,Saraswat Co-operative Bank,24.88,94.11%,5.24%,0.66%,0.10,64.81%
46,Jio Payments Bank Limited,22.56,88.72%,10.15%,1.13%,0.23,96.15%
47,NSDL Payments Bank Limited,20.08,83.05%,11.47%,5.49%,0.38,9.08%
48,Sarva Haryana Gramin Bank,19.79,89.36%,6.17%,4.47%,0.32,28.04%
49,Andhra Pragathi Grameena Bank,18.96,83.63%,11.69%,4.68%,0.27,27.01%
50,RBL Bank Limited,18.87,91.45%,8.10%,0.44%,0.08,67.16%
