UPI Remitter Members - Top 50 Members (Feb'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,"5,518.02",92.24%,7.73%,0.04%,21.10,98.31%
2,HDFC Bank Ltd.,"1,525.33",94.07%,5.84%,0.09%,4.54,80.05%
3,Bank of Baroda,"1,460.03",89.37%,10.62%,0.01%,6.43,98.45%
4,Union Bank of India,"1,285.21",91.21%,8.79%,0.01%,4.61,94.60%
5,Punjab National Bank,"1,150.14",88.49%,10.90%,0.61%,7.15,87.48%
6,Canara Bank,"1,029.34",91.63%,8.22%,0.15%,4.01,86.78%
7,Kotak Mahindra Bank,"1,020.92",90.24%,9.76%,0.00%,3.58,96.65%
8,Axis Bank Ltd.,934.11,94.09%,5.91%,0.00%,2.35,96.48%
9,INDIA POST PAYMENTS BANK LIMITED,769.03,82.05%,17.36%,0.59%,5.83,92.78%
10,Indian Bank,703.41,90.72%,9.27%,0.01%,2.47,95.96%
11,ICICI Bank Ltd.,691.15,95.50%,4.50%,0.00%,1.34,95.44%
12,Airtel Payments Bank Limited,680.62,77.78%,21.97%,0.25%,5.28,89.92%
13,Bank Of India,644.12,91.74%,7.69%,0.57%,3.65,86.20%
14,Indian Overseas Bank,369.12,91.71%,8.19%,0.09%,1.44,90.98%
15,Central Bank of India,357.01,88.96%,10.24%,0.80%,2.44,77.20%
16,UCO Bank,298.32,87.95%,11.84%,0.21%,1.53,85.27%
17,Federal Bank Ltd.,266.98,91.74%,8.19%,0.07%,0.67,98.21%
18,Fino Payments Bank Ltd.,236.38,78.72%,21.22%,0.06%,1.70,92.23%
19,Bank of Maharashtra,229.72,92.28%,7.71%,0.01%,0.73,91.34%
20,Indusind Bank Ltd.,222.25,86.77%,12.92%,0.30%,1.20,79.29%
21,IDBI Bank Ltd.,203.74,92.83%,7.17%,0.00%,0.69,82.31%
22,Yes Bank Ltd.,154.27,90.79%,9.15%,0.06%,0.36,91.66%
23,Tri O Tech Solutions Private Limited,147.62,100.00%,0.00%,0.00%,-,0.00%
24,Karnataka Bank,145.72,90.80%,8.86%,0.34%,0.64,86.80%
25,IDFC Bank Ltd.,143.48,92.82%,6.77%,0.42%,0.40,78.32%
26,The Jammu & Kashmir Bank Limited,99.71,92.09%,7.77%,0.14%,0.54,83.17%
27,Karur Vysya Bank,96.54,92.17%,7.69%,0.14%,0.32,85.04%
28,BANDHAN BANK LIMITED,92.43,94.94%,4.80%,0.25%,0.55,88.10%
29,JIO PAYMENTS BANK LTD,89.08,82.14%,17.58%,0.28%,1.32,95.74%
30,AU small Finance Bank,81.88,88.00%,12.00%,0.00%,0.42,52.09%
31,The South Indian Bank Limited,75.83,94.11%,5.84%,0.06%,0.15,97.25%
32,Baroda U.P. Bank,75.30,88.41%,4.33%,7.26%,1.74,38.99%
33,NSDL Payments Bank Limited,68.12,74.79%,20.33%,4.88%,1.45,69.67%
34,Punjab and Sind Bank,61.26,88.17%,11.57%,0.26%,0.36,91.25%
35,Slice Small Finance Bank Limited,60.71,95.03%,4.97%,0.00%,0.26,92.54%
36,Tamilnad Mercantile Bank Limited,59.48,91.34%,7.97%,0.70%,0.20,83.94%
37,UJJIVAN SMALL FINANCE BANK LIMITED,57.23,87.98%,11.95%,0.07%,0.27,94.09%
38,City Union Bank,57.07,91.46%,8.34%,0.20%,0.17,99.80%
39,Rajasthan Marudhara Gramin Bank,56.22,84.80%,13.35%,1.86%,0.58,76.17%
40,Karnataka Gramin Bank,53.13,87.04%,11.51%,1.45%,0.27,71.70%
41,KERALA GRAMIN BANK,52.11,92.54%,7.17%,0.30%,0.17,77.41%
42,TELANGANA GRAMEENA BANK,45.12,86.99%,11.67%,1.33%,0.21,69.30%
43,CHAITANYA GODAVARI GRAMEENA BANK,41.70,86.75%,11.64%,1.61%,0.34,48.07%
44,Maharashtra Gramin Bank,38.34,83.03%,15.54%,1.43%,0.24,51.88%
45,ESAF SMALL FINANCE BANK LTD,34.11,96.13%,3.61%,0.26%,0.13,96.43%
46,RBL Bank Ltd.,31.46,92.52%,7.07%,0.41%,0.12,59.65%
47,Saraswat Co-operative Bank,30.91,94.12%,5.51%,0.37%,0.10,80.10%
48,DBS Bank India Limited,29.90,91.17%,8.61%,0.22%,0.11,76.56%
49,EQUITAS SMALL FINANCE BANK,27.51,89.61%,10.37%,0.02%,0.10,97.24%
50,SARVA HARYANA GRAMIN BANK,26.06,89.86%,7.47%,2.66%,0.38,49.96%
