UPI Remitter Members - Top 50 Members (Oct'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"4,478.41",92.10%,6.29%,1.61%,17.29,0.9703
2,HDFC BANK LTD.,"1,409.32",94.74%,5.24%,0.02%,4.26,0.9984
3,Bank of Baroda,"1,116.59",92.54%,7.41%,0.06%,3.5,0.979
4,Union Bank of India,"1,043.89",93.16%,6.69%,0.15%,3.77,0.8601
5,Punjab National Bank,955.82,90.92%,8.90%,0.18%,3.29,0.9659
6,Kotak Mahindra Bank,863.59,91.32%,8.58%,0.10%,2.81,0.8786
7,Axis Bank Ltd.,827.97,94.82%,5.13%,0.06%,2.3,0.957
8,Canara Bank,795.21,92.55%,7.16%,0.29%,3.31,0.8926
9,ICICI Bank Ltd.,709.27,95.76%,4.20%,0.04%,1.91,0.9823
10,Bank of India,538.24,93.54%,5.93%,0.54%,2.5,0.7709
11,Indian Bank,513.28,93.41%,6.42%,0.18%,1.87,0.872
12,Airtel Payments Bank Limited,500.76,89.46%,10.35%,0.19%,2.2,0.9731
13,India Post Payments Bank Limited,434.48,87.51%,11.24%,1.25%,1.84,0.8121
14,Indian Overseas Bank,244.05,91.68%,6.13%,2.19%,1.74,0.8754
15,Central Bank Of India,241.37,86.85%,12.22%,0.92%,1.1,0.8413
16,Federal Bank Ltd.,238.16,92.59%,7.10%,0.31%,0.69,0.9763
17,UCO Bank,220.3,92.16%,7.68%,0.16%,0.85,0.9084
18,Bank of Maharashtra,187.72,92.94%,6.64%,0.42%,0.76,0.7693
19,IDBI Bank Ltd.,186.35,93.67%,6.15%,0.18%,0.71,0.9238
20,INDUSIND BANK Ltd.,184.41,90.46%,9.32%,0.22%,0.77,0.9097
21,Fino Payments Bank Ltd.,173.06,92.76%,7.17%,0.07%,0.79,0.9478
22,Yes Bank Ltd.,165.55,85.65%,14.14%,0.21%,0.54,0.6934
23,Karnataka Bank,126.09,92.63%,6.87%,0.50%,0.48,0.841
24,IDFC Bank Ltd.,99.72,92.41%,7.14%,0.44%,0.71,0.4229
25,Karur Vysya Bank,79.62,92.99%,6.72%,0.29%,0.31,0.9392
26,The Jammu & Kashmir Bank Limited,78.02,89.55%,5.02%,5.43%,1.82,0.1378
27,AU small Finance Bank,76.76,90.05%,9.88%,0.07%,0.29,0.9471
28,Bandhan Bank Limited,74.83,93.87%,5.29%,0.84%,0.34,0.9437
29,Tri O Tech Solutions Private Limited,69.79,100.00%,0.00%,0.00%,0.00%,0.0
30,The South Indian Bank Limited,64.32,94.61%,5.25%,0.14%,0.18,0.9872
31,Ujjivan Small Finance Bank Limited,48.67,94.65%,4.98%,0.37%,0.19,0.8684
32,Punjab and Sind Bank,47.91,91.97%,7.83%,0.20%,0.22,0.9265
33,City Union Bank,47.69,93.04%,6.83%,0.14%,0.13,0.9975
34,Tamilnad Mercantile Bank Limited,44.76,92.22%,7.41%,0.38%,0.16,0.7733
35,Kerala Gramin Bank,38.22,92.47%,6.68%,0.85%,0.23,0.8693
36,Equitas Small Finance Bank,34.5,92.52%,7.45%,0.03%,0.12,0.9783
37,Andhra Pradesh Grameena Vikas Bank,32.92,85.99%,12.62%,1.39%,0.04,0.0
38,Baroda UP Gramin Bank,31.14,92.41%,6.10%,1.48%,0,0.0
39,Karnataka Gramin Bank,30.87,89.60%,8.27%,2.13%,0.36,0.7923
40,DBS Bank India Limited,30.17,92.60%,7.25%,0.15%,0.11,0.8746
41,Maharashtra Gramin Bank,29.85,85.61%,12.12%,2.27%,0.18,0.5389
42,Rajasthan Marudhara Gramin Bank,29.28,84.14%,10.95%,4.91%,0.37,0.2664
43,Saraswat Co-operative Bank,28.5,94.07%,5.72%,0.21%,0.1,0.8812
44,Jio Payments Bank Ltd,28.23,88.59%,10.18%,1.23%,0.26,0.9935
45,Standard Chartered Bank,27.97,95.45%,3.31%,1.24%,0.17,0.5365
46,ESAF Small Finance Bank Ltd,27.91,95.35%,4.55%,0.10%,0.1,0.9678
47,NSDL Payments Bank Limited,24.07,84.64%,11.55%,3.81%,0.37,0.0394
48,RBL Bank Ltd.,23.06,92.36%,7.33%,0.31%,0.1,0.7665
49,Andhra Pragathi Grameena Bank,21.92,78.27%,10.39%,11.34%,0.64,0.3642
50,Sarva Haryana Gramin Bank,21.22,93.23%,6.41%,0.36%,0.09,0.8726
