UPI Remitter Members - Top 50 Members (Mar'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"6,262.10",91.97%,7.87%,0.16%,21.46,98.75%
2,Hdfc Bank Ltd.,"1,703.53",93.73%,6.27%,0.00%,4.01,97.27%
3,Bank Of Baroda,"1,649.23",88.67%,11.23%,0.10%,7.24,95.72%
4,Union Bank Of India,"1,451.37",90.62%,9.17%,0.20%,5.5,84.64%
5,Punjab National Bank,"1,301.50",88.51%,11.35%,0.13%,7.22,97.79%
6,Canara Bank,"1,160.95",91.33%,8.49%,0.19%,4.46,87.34%
7,Kotak Mahindra Bank,"1,134.21",89.71%,10.15%,0.14%,3.74,94.53%
8,Axis Bank Ltd.,"1,029.58",93.65%,6.35%,0.00%,2.47,98.87%
9,India Post Payments Bank Limited ,884.14,83.00%,16.81%,0.19%,6.49,92.88%
10,Indian Bank,794.12,90.07%,9.80%,0.12%,2.7,73.06%
11,Airtel Payments Bank Limited,787.26,76.37%,23.40%,0.23%,5.62,96.21%
12,Icici Bank Ltd.,768.31,95.27%,4.57%,0.16%,1.68,92.14%
13,Bank Of India,725.98,91.28%,8.26%,0.46%,3.35,87.46%
14,Indian Overseas Bank,417.72,91.53%,8.45%,0.02%,1.43,98.97%
15,Central Bank Of India,409.50,88.50%,10.61%,0.89%,2.59,79.93%
16,Uco Bank,335.66,87.36%,12.56%,0.08%,1.49,95.48%
17,Federal Bank Ltd.,293.37,91.03%,8.88%,0.09%,0.67,99.80%
18,Fino Payments Bank Ltd.,275.22,77.87%,22.07%,0.06%,1.87,93.99%
19,Bank Of Maharashtra,260.31,91.57%,8.15%,0.28%,0.88,86.45%
20,Indusind Bank Ltd.,249.91,86.24%,13.59%,0.17%,1.2,83.10%
21,Idbi Bank Ltd.,228.49,91.81%,7.65%,0.54%,0.98,69.46%
22,Yes Bank Ltd.,167.38,90.42%,9.41%,0.17%,0.38,86.84%
23,Tri O Tech Solutions Private Limited,166.67,100.00%,0.00%,0.00%,-,0.00%
24,Idfc Bank Ltd.,163.66,92.92%,7.05%,0.03%,0.35,95.29%
25,Karnataka Bank,163.57,90.60%,9.20%,0.21%,0.59,91.13%
26,Karur Vysya Bank,108.15,91.40%,8.32%,0.29%,0.38,83.86%
27,The Jammu & Kashmir Bank Limited,108.13,91.55%,8.20%,0.25%,0.6,80.75%
28,Bandhan Bank Limited,102.11,94.77%,4.50%,0.74%,0.65,80.86%
29,Jio Payments Bank Ltd,101.97,80.80%,18.89%,0.30%,1.49,98.74%
30,Au Small Finance Bank,92.46,87.14%,12.76%,0.10%,0.4,95.24%
31,Baroda U.P. Bank,90.10,84.79%,5.05%,10.17%,2.77,43.14%
32,The South Indian Bank Limited,84.24,93.51%,6.28%,0.21%,0.15,98.35%
33,Nsdl Payments Bank Limited,78.59,75.74%,22.63%,1.63%,1.33,90.81%
34,Slice Small Finance Bank Limited,70.17,93.96%,5.77%,0.27%,0.29,88.41%
35,Punjab And Sind Bank,69.58,87.47%,12.25%,0.28%,0.4,90.35%
36,Slice Small Finance Bank Limited,66.82,91.41%,8.05%,0.54%,0.19,90.27%
37,Ujjivan Small Finance Bank Limited,64.24,87.46%,12.29%,0.25%,0.3,92.18%
38,Rajasthan Marudhara Gramin Bank,64.16,84.83%,14.49%,0.68%,0.48,94.64%
39,City Union Bank,62.47,90.59%,9.03%,0.38%,0.19,99.85%
40,Karnataka Gramin Bank,61.01,88.01%,10.86%,1.14%,0.36,55.12%
41,Kerala Gramin Bank,58.84,93.23%,6.54%,0.23%,0.16,89.49%
42,Telangana Grameena Bank,52.64,86.27%,11.89%,1.84%,0.17,90.28%
43,Chaitanya Godavari Grameena Bank,49.65,84.05%,14.76%,1.20%,0.4,42.77%
44,Maharashtra Gramin Bank,44.51,81.31%,15.23%,3.46%,0.35,37.78%
45,Esaf Small Finance Bank Ltd,38.08,95.77%,3.54%,0.69%,0.18,91.69%
46,Rbl Bank Ltd.,35.74,92.39%,7.27%,0.33%,0.09,76.16%
47,Saraswat Co-Operative Bank,34.68,93.65%,5.83%,0.52%,0.12,74.63%
48,Dbs Bank India Limited,33.05,90.82%,9.08%,0.10%,0.1,94.05%
49,Equitas Small Finance Bank,30.52,88.84%,11.07%,0.09%,0.11,94.56%
50,Sarva Haryana Gramin Bank,29.02,91.15%,8.65%,0.20%,0.22,84.51%
