month_year,bank_name,role_type,total_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,approved_volume_mn,total_decline_pct
2025-04,IDBI Bank Ltd.,Remitter,195.97,92.72,0.15,7.12,181.7,7.27
2025-04,Yes Bank Ltd.,Remitter,168.8,89.21,0.03,10.76,150.59,10.79
2025-04,Karnataka Bank,Remitter,137.3,89.51,1.27,9.22,122.9,10.49
2025-04,IDFC Bank Ltd.,Remitter,111.75,91.64,0.01,8.35,102.41,8.36
2025-04,Tri O Tech Solutions Private Limited,Remitter,99.59,100,0,0,99.59,0
2025-04,The Jammu & Kashmir Bank Limited,Remitter,94.27,92.37,1.05,6.58,87.08,7.63
2025-04,Karur Vysya Bank,Remitter,87.89,92.36,0.2,7.44,81.18,7.64
2025-04,Bandhan Bank limited,Remitter,82.44,93.75,0.64,5.62,77.29,6.26
2025-04,AU Small Finance Bank,Remitter,73.95,87.39,0.27,12.34,64.62,12.61
2025-04,The South Indian Bank Limited,Remitter,66.92,94.08,0.01,5.91,62.96,5.92
2025-04,Punjab and Sind Bank,Remitter,54.5,90.17,0.47,9.36,49.14,9.83
2025-04,City Union Bank,Remitter,52.19,90.55,0.27,9.18,47.26,9.45
2025-04,Ujjivan Small Finance Bank Limited,Remitter,51.6,91.96,0.94,7.09,47.45,8.03
2025-04,Tamilnad Mercantile Bank Limited,Remitter,50.57,91.59,0.14,8.27,46.32,8.41
2025-04,JIO Payments Bank Ltd,Remitter,49.43,79.3,0.58,20.13,39.2,20.71
2025-04,Baroda U.P. Bank,Remitter,43.04,91.8,1.4,6.8,39.51,8.2
2025-04,Kerala Gramin Bank,Remitter,41.93,91.12,1.2,7.68,38.21,8.88
2025-04,RBL Bank Ltd.,Remitter,36.09,92.76,0.45,6.8,33.48,7.25
2025-04,Telangana Grameena Bank,Remitter,36.07,85.88,1.21,12.91,30.98,14.12
2025-04,Maharashtra Gramin Bank,Remitter,35.66,84.44,2.73,12.84,30.11,15.57
2025-04,Karnataka Gramin Bank,Remitter,34.52,86.08,2.8,11.12,29.71,13.92
2025-04,Rajasthan Marudhara Gramin Bank,Remitter,33.47,82.68,0.31,17.01,27.67,17.32
2025-04,NSDL Payments Bank Limited,Remitter,33.14,78.01,1.32,20.66,25.85,21.98
2025-04,DBS Bank India Limited,Remitter,31.44,91.81,0.01,8.18,28.87,8.19
2025-04,ESAF Small Finance Bank Ltd,Remitter,30.46,94.78,0.05,5.17,28.87,5.22
2025-04,Equitas Small Finance Bank,Remitter,30.39,90.12,0.44,9.44,27.39,9.88
2025-04,Saraswat Co-operative Bank,Remitter,28.81,94.13,0,5.86,27.12,5.86
2025-04,Andhra Pragathi Grameena Bank,Remitter,28.12,82.07,5.22,12.71,23.08,17.93
2025-04,Standard Chartered Bank,Remitter,27.01,94.52,0.97,4.5,25.53,5.47
2025-04,Sarva Haryana Gramin Bank,Remitter,23.95,93.23,1.73,5.04,22.33,6.77
2026-04,State Bank Of India,Remitter,6183.11,91.57,17,8.25,5661.87,25.25
2026-04,Hdfc Bank Ltd.,Remitter,1669.79,93.68,5,6.28,1564.26,11.28
2026-04,Bank Of Baroda,Remitter,1638.53,88.32,6,11.62,1447.15,17.62
2026-04,Union Bank Of India,Remitter,1447.9,90.79,0,9.21,1314.55,9.21
2026-04,Punjab National Bank,Remitter,1315.38,88.57,32,11.11,1165.03,43.11
2026-04,Canara Bank,Remitter,1152.59,91.22,26,8.52,1051.39,34.52
2026-04,Kotak Mahindra Bank,Remitter,1123.84,89.68,1,10.31,1007.86,11.31
2026-04,Axis Bank Ltd.,Remitter,1017.31,93.64,1,6.36,952.61,7.36
2026-04,India Post Payments Bank Limited,Remitter,869.56,81.68,76,17.57,710.26,93.57
2026-04,Indian Bank,Remitter,783.67,89.65,8,10.27,702.56,18.27
2026-04,Icici Bank Ltd.,Remitter,775.63,95.61,0,4.39,741.58,4.39
2026-04,Airtel Payments Bank Limited,Remitter,772.45,74.38,34,25.28,574.55,59.28
2026-04,Bank Of India,Remitter,712.52,91.33,4,8.63,650.74,12.63
2026-04,Indian Overseas Bank,Remitter,412.91,91.14,10,8.76,376.33,18.76
2026-04,Central Bank Of India,Remitter,408.62,87.14,1.39,11.47,356.07,12.86
2026-04,Uco Bank,Remitter,329.07,86.58,15,13.27,284.91,28.27
2026-04,Federal Bank Ltd.,Remitter,288.29,90.93,5,9.02,262.14,14.02
2026-04,Fino Payments Bank Ltd.,Remitter,268.5,77.64,22,22.14,208.46,44.14
2026-04,Bank Of Maharashtra,Remitter,259.61,90.76,15,9.09,235.62,24.09
2026-04,Indusind Bank Ltd.,Remitter,248.08,85.99,11,13.9,213.32,24.9
