UPI Beneficiary Members - Top 50 Members (Jan'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Paytm Payments Bank,"2,851.38",99.90%,0.07%,0.03%,0.00%
2,Yes Bank Ltd,"2,105.87",99.92%,0.04%,0.04%,0.01%
3,State Bank Of India,"1,306.23",99.64%,0.18%,0.18%,0.04%
4,Axis Bank Ltd.,"1,008.43",99.76%,0.18%,0.06%,0.10%
5,ICICI Bank,647.71,99.42%,0.54%,0.04%,0.02%
6,HDFC BANK LTD,549.54,98.20%,1.76%,0.04%,0.01%
7,Bank of Baroda,336.93,99.80%,0.17%,0.03%,0.04%
8,Union Bank of India,324.67,99.00%,0.17%,0.84%,0.37%
9,Federal Bank,301.12,99.53%,0.34%,0.13%,0.01%
10,Punjab National Bank,271.75,99.49%,0.38%,0.13%,0.23%
11,Canara Bank,268.36,98.43%,1.30%,0.28%,0.17%
12,Kotak Mahindra Bank,236.42,98.61%,0.47%,0.92%,0.39%
13,Indian Bank,192.09,98.96%,0.77%,0.27%,0.10%
14,Airtel Payments Bank,184.67,99.03%,0.39%,0.58%,0.33%
15,Bank of India,179.80,99.64%,0.25%,0.11%,0.04%
16,INDUSIND BANK,129.00,98.83%,0.54%,0.62%,0.10%
17,India Post Payment Bank,113.35,98.17%,0.38%,1.45%,0.16%
18,Central Bank Of India,85.35,96.53%,0.50%,2.97%,1.21%
19,Indian Overseas Bank,76.93,98.86%,0.39%,0.75%,0.28%
20,UCO Bank,73.44,96.13%,0.63%,3.24%,0.65%
21,RBL,62.06,92.29%,0.36%,7.35%,0.26%
22,IDBI Bank Limited,62.06,97.83%,0.43%,1.74%,0.40%
23,Bank of Maharashtra,53.88,98.92%,0.24%,0.84%,0.14%
24,Fino Payments Bank Limited FIP,45.27,97.49%,1.88%,0.62%,0.07%
25,Karnataka Bank,41.79,98.66%,0.81%,0.54%,0.08%
26,IDFC First Bank,38.32,97.78%,2.04%,0.18%,0.04%
27,Karur Vysya Bank,31.32,98.42%,1.32%,0.25%,0.04%
28,South Indian Bank,31.07,96.63%,3.23%,0.15%,0.02%
29,Bandhan Bank,28.56,94.91%,0.24%,4.85%,0.46%
30,AU small Finance Bank,26.21,96.53%,3.24%,0.23%,0.04%
31,Tamilnad Mercantile Bank,20.54,99.60%,0.16%,0.24%,0.02%
32,Ujjivan Small Finance Bank,19.40,98.06%,0.85%,1.09%,0.41%
33,City Union Bank,18.79,97.08%,2.67%,0.25%,0.03%
34,Jammu and Kashmir Bank,18.46,99.06%,0.60%,0.35%,0.14%
35,Tri O Tech Solutions Private Limited,17.98,95.28%,4.12%,0.60%,0.26%
36,Kerala Gramin Bank,14.38,89.31%,0.24%,10.46%,0.88%
37,Punjab and Sind Bank,13.75,98.14%,1.24%,0.62%,0.62%
38,Pragathi Krishna Gramin Bank,13.28,84.28%,0.32%,15.40%,0.47%
39,Equitas Bank,12.96,97.83%,2.03%,0.13%,0.01%
40,Andhra Pradesh Grameena Vikas Bank,12.56,97.08%,1.26%,1.66%,0.28%
41,ONE MOBIKWIK SYSTEMS LIMITED,11.31,99.99%,0.00%,0.01%,0.00%
42,Maharashtra Gramin Bank,10.74,96.11%,0.28%,3.62%,0.33%
43,ESAF Small Finance Bank Ltd.,10.37,95.16%,0.13%,4.71%,0.58%
44,DBS Bank India Limited,10.30,98.38%,1.56%,0.06%,0.06%
45,Baroda UP Gramin Bank,10.21,71.46%,0.61%,27.93%,8.74%
46,CITI,10.02,99.87%,0.00%,0.13%,0.20%
47,Rajasthan Marudhara Gramin Bank,9.82,99.41%,0.30%,0.29%,0.10%
48,Jio Payments Bank,9.12,99.33%,0.31%,0.36%,0.31%
49,Fincare Small Finance Bank Ltd,7.98,95.71%,2.71%,1.57%,0.04%
50,Andhra Pragathi Grameena Bank,7.85,98.04%,0.47%,1.49%,0.22%
