UPI Beneficiary Members - Top 50 Members (Jun'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,5523.03,99.98%,0.02%,0.00%,0.00%
2,State Bank Of India,1549.25,99.76%,0.10%,0.14%,0.05%
3,Axis Bank Ltd.,1025.59,99.88%,0.12%,0.00%,0.02%
4,HDFC Bank Ltd.,653.68,98.79%,1.06%,0.15%,0.05%
5,ICICI Bank Ltd.,624.6,99.50%,0.48%,0.02%,0.02%
6,Bank of Baroda,400.13,99.78%,0.08%,0.14%,0.17%
7,Federal Bank,383.4,99.75%,0.23%,0.03%,0.00%
8,Union Bank of India,351.85,99.72%,0.11%,0.17%,0.10%
9,Punjab National Bank,324.58,99.40%,0.27%,0.34%,0.11%
10,Canara Bank,301.47,98.70%,0.94%,0.36%,0.15%
11,Kotak Mahindra Bank Ltd,275.04,99.39%,0.30%,0.31%,0.29%
12,Airtel Payments Bank Ltd,251.18,98.94%,0.34%,0.72%,0.15%
13,Indian Bank,224.43,99.08%,0.73%,0.19%,0.24%
14,Bank of India,202.39,99.03%,0.74%,0.23%,0.19%
15,India Post Payments Bank Ltd,137.69,98.92%,0.28%,0.80%,0.17%
16,IndusInd Bank Ltd.,124.07,99.11%,0.53%,0.37%,0.26%
17,Central Bank Of India,93.75,97.52%,1.46%,1.02%,0.37%
18,Indian Overseas Bank,93.03,98.65%,0.52%,0.82%,0.38%
19,UCO Bank,87.05,99.14%,0.66%,0.20%,0.10%
20,Fino Payments Bank Ltd.,73.74,96.29%,3.29%,0.43%,0.07%
21,IDBI Bank Ltd.,66.26,99.24%,0.36%,0.40%,0.17%
22,Bank of Maharashtra,60.84,98.97%,0.32%,0.71%,0.16%
23,Karnataka Bank Ltd,47.71,98.50%,1.13%,0.37%,0.11%
24,Karur Vysya Bank,36.29,98.24%,1.11%,0.65%,0.07%
25,RBL Bank Ltd.,36.15,98.79%,0.90%,0.31%,0.17%
26,IDFC First Bank Ltd,35.42,98.75%,1.21%,0.04%,0.02%
27,Bandhan Bank Ltd.,35.19,98.64%,0.37%,0.99%,0.01%
28,One Mobikwik Systems Pvt - Ltd,35.03,99.93%,0.02%,0.04%,0.00%
29,South Indian Bank,34.18,98.89%,1.08%,0.03%,0.01%
30,Jammu and Kashmir Bank,33.89,99.05%,0.37%,0.58%,0.28%
31,AU small Finance Bank,26.37,99.00%,0.99%,0.01%,0.01%
32,Tamilnad Mercantile Bank,25.76,98.76%,0.09%,1.15%,0.18%
33,Tri O Tech Solutions Private Ltd.,25.21,96.49%,3.43%,0.09%,0.04%
34,Ujjivan Small Finance Bank,22.07,99.11%,0.74%,0.15%,0.14%
35,City Union Bank,21.49,97.81%,2.04%,0.15%,0.00%
36,Punjab and Sind Bank,16.82,98.79%,0.99%,0.22%,0.03%
37,Kerala Gramin Bank,15.64,98.75%,0.89%,0.36%,0.24%
38,Cosmos Bank,15.14,95.46%,0.07%,4.47%,0.60%
39,Equitas Small Finance Bank Ltd,13.81,97.75%,1.34%,0.91%,0.17%
40,Andhra Pradesh Grameena Vikas Bank,13.6,97.85%,0.52%,1.63%,0.85%
41,Jio Payments Bank,13.28,98.52%,0.39%,1.09%,1.06%
42,Pragathi Krishna Gramin Bank,12.98,98.17%,0.99%,0.83%,0.58%
43,CITI bank,11.72,99.93%,0.00%,0.07%,0.09%
44,Baroda Uttar Pradesh Gramin Bank,11.7,87.69%,0.64%,11.68%,3.82%
45,Maharashtra Gramin Bank,11.6,98.84%,0.18%,0.98%,0.11%
46,Rajasthan Marudhara Gramin Bank,11.14,98.79%,0.46%,0.76%,0.23%
47,ESAF Small Finance Bank Ltd.,10.88,98.50%,1.42%,0.08%,0.03%
48,DBS Bank India Ltd.,10.36,98.41%,1.44%,0.15%,0.02%
49,Fincare Small Finance Bank Ltd,9.22,95.48%,4.17%,0.35%,0.08%
50,Andhra Pragathi Grameena Bank,9.05,95.03%,1.16%,3.81%,0.12%
