UPI Remitter Members - Top 50 Members (Mar'24),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,upi_remitter_banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"3,557.54",94.99%,4.70%,0.32%,16.59,95.04%
2,HDFC BANK LTD,"1,158.51",96.13%,3.86%,0.01%,4.26,99.60%
3,Bank of Baroda,882.82,93.30%,6.25%,0.45%,4.40,96.49%
4,Union Bank of India,848.59,93.47%,5.14%,1.40%,6.51,53.92%
5,Punjab National Bank,728.08,94.22%,5.54%,0.23%,3.49,99.11%
6,Kotak Mahindra Bank,703.56,93.66%,6.20%,0.14%,3.28,90.24%
7,Canara Bank,642.81,93.72%,5.91%,0.37%,3.68,81.79%
8,Axis Bank Ltd.,630.13,96.07%,3.93%,0.01%,2.14,97.72%
9,ICICI Bank,603.62,96.40%,3.52%,0.09%,2.07,95.68%
10,Bank of India,434.19,94.63%,5.03%,0.34%,2.23,84.44%
11,Indian Bank,400.98,94.39%,5.40%,0.21%,2.44,75.20%
12,Airtel Payments Bank,387.91,91.25%,8.63%,0.12%,2.14,95.89%
13,India Post Payment Bank,312.23,80.17%,13.85%,5.98%,3.15,46.99%
14,Federal Bank,204.83,94.79%,5.01%,0.20%,0.76,98.04%
15,Central Bank Of India,200.37,85.98%,10.69%,3.33%,2.61,51.15%
16,Indian Overseas Bank,188.01,92.66%,4.92%,2.42%,1.21,91.57%
17,UCO Bank,171.87,93.19%,5.90%,0.91%,1.34,57.58%
18,Bank of Maharashtra,153.39,89.77%,5.41%,4.83%,1.43,59.23%
19,IDBI Bank Limited,151.70,93.27%,5.26%,1.47%,0.99,70.17%
20,INDUSIND BANK,142.64,92.76%,6.76%,0.47%,0.91,92.70%
21,Fino Payments Bank Limited,136.77,88.98%,9.53%,1.48%,0.92,70.73%
22,Karnataka Bank,106.23,92.83%,6.07%,1.10%,0.61,71.09%
23,Yes Bank Ltd,103.43,94.43%,5.40%,0.17%,0.35,95.02%
24,Paytm Payments Bank,98.18,89.73%,10.25%,0.03%,0.35,96.43%
25,IDFC FIRST Bank,83.30,92.99%,6.72%,0.28%,0.39,82.51%
26,Karur Vysya Bank,67.68,91.62%,5.87%,2.51%,0.45,79.24%
27,Bandhan Bank,54.03,93.13%,5.90%,0.97%,0.30,98.34%
28,South Indian Bank,53.06,95.66%,4.30%,0.04%,0.15,96.38%
29,Jammu and Kashmir Bank,52.39,94.19%,5.01%,0.80%,0.40,58.67%
30,AU small Finance Bank,45.20,93.76%,5.01%,1.23%,0.35,91.10%
31,Tri O Tech Solutions Private Limited,43.69,100.00%,0.00%,0.00%,0.00,0.00%
32,Ujjivan Small Finance Bank,42.64,94.16%,5.62%,0.22%,0.21,95.46%
33,City Union Bank,40.70,92.12%,7.57%,0.31%,0.14,99.51%
34,Punjab and Sind Bank,36.91,88.97%,6.85%,4.18%,0.65,41.18%
35,Tamilnad Mercantile Bank,36.68,91.40%,6.86%,1.75%,0.23,52.03%
36,Equitas Bank,32.26,92.46%,7.26%,0.28%,0.17,96.21%
37,Andhra Pradesh Grameena Vikas Bank,28.83,84.18%,12.67%,3.15%,0.30,56.53%
38,Kerala Gramin Bank,27.13,92.84%,6.20%,0.96%,0.15,52.05%
39,DBS Bank India Limited,26.67,94.70%,5.04%,0.26%,0.11,81.96%
40,Pragathi Krishna Gramin Bank,26.20,89.82%,8.08%,2.10%,0.30,49.95%
41,Maharashtra Gramin Bank,25.45,87.57%,11.61%,0.83%,0.09,94.05%
42,Standard Chartered,25.13,97.12%,2.69%,0.19%,0.09,94.80%
43,Rajasthan Marudhara Gramin Bank,24.86,83.35%,11.87%,4.78%,0.29,41.00%
44,Saraswat Bank,23.28,95.74%,3.94%,0.32%,0.10,82.32%
45,Baroda UP Gramin Bank,22.31,74.22%,10.56%,15.22%,1.02,14.65%
46,ESAF Small Finance Bank Ltd.,21.76,93.86%,5.08%,1.06%,0.13,73.09%
47,Fincare Small Finance Bank Ltd,21.32,85.10%,14.43%,0.47%,0.12,94.35%
48,Citibank,20.78,96.61%,3.06%,0.32%,0.09,98.88%
49,Sarva Haryana Gramin Bank,17.71,92.50%,7.00%,0.50%,0.11,82.22%
50,Andhra Pragathi Grameena Bank,17.33,84.52%,13.38%,2.10%,0.14,53.68%
