UPI Remitter Members - Top 50 Members (May'26),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Sr. No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %,TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,"6,439.49",91.18%,8.65%,0.17%,20.28,97.96%
2,Hdfc Bank Ltd.,"1,735.66",93.43%,6.55%,0.02%,3.9,96.54%
3,Bank Of Baroda,"1,713.53",87.84%,12.09%,0.07%,6.31,97.60%
4,Union Bank Of India,"1,508.82",90.47%,9.52%,0.01%,4.66,97.92%
5,Punjab National Bank,"1,397.83",88.60%,10.54%,0.87%,9.92,74.84%
6,Canara Bank,"1,205.08",90.95%,8.95%,0.09%,4.2,90.67%
7,Kotak Mahindra Bank,"1,164.23",89.30%,10.70%,0.01%,3.32,98.05%
8,Axis Bank Ltd.,"1,056.95",93.43%,6.56%,0.01%,2.4,99.77%
9,India Post Payments Bank Limited ,895.96,81.48%,18.10%,0.42%,5.65,92.35%
10,Indian Bank,804.65,86.16%,13.32%,0.52%,3.42,65.49%
11,Icici Bank Ltd.,795.41,95.40%,4.58%,0.02%,1.45,96.38%
12,Airtel Payments Bank Limited,771.76,73.99%,25.73%,0.28%,4.57,93.47%
13,Bank Of India,749.48,91.15%,8.80%,0.05%,2.86,92.37%
14,Indian Overseas Bank,437.45,90.73%,9.25%,0.02%,1.52,98.78%
15,Central Bank Of India,429.90,86.54%,11.91%,1.54%,2.9,74.49%
16,Uco Bank,343.09,87.65%,12.29%,0.06%,1.4,95.09%
17,Federal Bank Ltd.,300.98,90.58%,9.38%,0.04%,0.72,97.95%
18,Fino Payments Bank Ltd.,286.37,76.41%,23.09%,0.50%,1.92,90.48%
19,Bank Of Maharashtra,263.89,90.82%,8.87%,0.31%,0.84,85.93%
20,Indusind Bank Ltd.,258.24,85.37%,14.55%,0.08%,1.18,80.81%
21,Idbi Bank Ltd.,234.77,90.84%,8.39%,0.77%,1.07,61.05%
22,Tri O Tech Solutions Private Limited,194.30,100.00%,0.00%,0.00%,-,0.00%
23,Yes Bank Ltd.,175.62,92.12%,7.75%,0.13%,0.35,87.56%
24,Karnataka Bank,167.31,90.05%,9.74%,0.21%,0.6,78.38%
25,Idfc Bank Ltd.,167.07,92.45%,7.53%,0.03%,0.34,92.84%
26,The Jammu & Kashmir Bank Limited,126.89,92.45%,7.50%,0.05%,0.46,90.74%
27,Karur Vysya Bank,109.01,92.42%,7.40%,0.18%,0.36,88.11%
28,Jio Payments Bank Ltd,106.77,80.78%,19.07%,0.14%,1.28,99.19%
29,Bandhan Bank Limited,101.98,93.76%,5.30%,0.93%,0.66,29.16%
30,Au Small Finance Bank,95.59,86.14%,13.66%,0.20%,0.4,85.30%
31,Baroda U.P. Bank,92.52,89.42%,5.67%,4.91%,1.57,49.12%
32,Slice Small Finance Bank Limited,85.94,94.00%,5.93%,0.07%,0.28,95.90%
33,The South Indian Bank Limited,85.44,93.16%,6.45%,0.39%,0.16,98.20%
34,Nsdl Payments Bank Limited,84.08,73.85%,25.77%,0.39%,1.06,95.45%
35,Punjab And Sind Bank,73.48,87.01%,12.63%,0.37%,0.4,86.12%
36,Rajasthan Marudhara Gramin Bank,67.91,84.03%,15.26%,0.71%,0.42,91.26%
37,Tamilnad Mercantile Bank Limited,67.33,90.84%,8.44%,0.72%,0.22,88.17%
38,Ujjivan Small Finance Bank Limited,66.55,86.03%,13.73%,0.23%,0.28,92.89%
39,City Union Bank,63.65,91.50%,8.45%,0.05%,0.16,99.68%
40,Karnataka Gramin Bank,63.58,86.81%,11.50%,1.69%,0.52,39.42%
41,Kerala Gramin Bank,61.29,92.72%,6.98%,0.30%,0.2,79.55%
42,Telangana Grameena Bank,54.81,86.71%,11.72%,1.57%,0.31,47.99%
43,Chaitanya Godavari Grameena Bank,50.14,88.36%,11.00%,0.64%,0.21,77.23%
44,Maharashtra Gramin Bank,46.28,83.38%,15.54%,1.08%,0.19,60.34%
45,Esaf Small Finance Bank Ltd,38.36,95.10%,3.40%,1.50%,0.19,66.09%
46,Saraswat Co-Operative Bank,35.29,92.46%,6.54%,1.00%,0.15,58.76%
47,Sarva Haryana Gramin Bank,32.85,84.69%,14.23%,1.08%,0.22,79.48%
48,Dbs Bank India Limited,32.61,90.71%,9.21%,0.08%,0.1,92.92%
49,Equitas Small Finance Bank,30.79,88.20%,11.48%,0.32%,0.11,86.46%
50,One Mobikwik Systems Limited,29.58,100.00%,0.00%,0.00%,-,0.00%
