UPI Beneficiary Members - Top 50 Members (Dec'25),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD%,TD%,Deemed Approved %
1,Yes Bank Ltd.,"8,682.85",99.99%,0.01%,0.00%,0.00%
2,Axis Bank Ltd.,"2,211.88",99.87%,0.13%,0.01%,0.02%
3,State Bank of India,"2,182.07",99.60%,0.18%,0.22%,0.21%
4,HDFC Bank Ltd.,"1,089.85",99.28%,0.70%,0.02%,0.01%
5,Bank of Baroda,591.65,99.43%,0.45%,0.12%,0.06%
6,ICICI Bank Ltd.,557.96,99.73%,0.23%,0.04%,0.01%
7,Union Bank of India,527.83,99.24%,0.17%,0.59%,0.17%
8,Canara Bank,505.97,99.00%,0.24%,0.77%,0.10%
9,Airtel Payments Bank Limited,501.54,96.02%,3.88%,0.09%,0.03%
10,Punjab National Bank,496.10,99.22%,0.35%,0.43%,0.10%
11,Kotak Mahindra Bank,441.01,99.59%,0.39%,0.01%,0.02%
12,Federal Bank Ltd.,393.94,99.68%,0.22%,0.10%,0.00%
13,India Post Payments Bank Limited,354.62,95.49%,2.95%,1.56%,0.17%
14,Indian Bank,321.26,99.56%,0.18%,0.26%,0.05%
15,Bank Of India,293.41,98.66%,1.08%,0.26%,0.04%
16,Indusind Bank Ltd.,197.99,99.43%,0.39%,0.18%,0.12%
17,Unity Small Finance Bank Limited,195.30,99.88%,0.04%,0.08%,0.06%
18,Indian Overseas Bank,190.92,97.47%,0.53%,2.00%,0.07%
19,Central Bank of India,163.37,99.04%,0.54%,0.41%,0.16%
20,UCO Bank,133.91,99.30%,0.43%,0.27%,0.05%
21,Fino Payments Bank Ltd.,103.03,96.38%,3.01%,0.61%,0.11%
22,NSDL Payments Bank Limited,97.83,98.09%,1.34%,0.57%,0.16%
23,Bank of Maharashtra,91.51,98.87%,0.83%,0.30%,0.09%
24,IDBI Bank Ltd.,87.64,98.57%,0.86%,0.57%,0.04%
25,JIO Payments Bank Ltd,86.94,97.45%,1.99%,0.56%,0.12%
26,Tri O Tech Solutions Private Limited,72.34,98.08%,1.88%,0.04%,0.04%
27,Karnataka Bank,66.69,99.55%,0.358%,0.09%,0.01%
28,The Jammu & Kashmir Bank Limited,59.26,99.04%,0.76%,0.20%,0.10%
29,BANDHAN BANK LIMITED,59.05,99.58%,0.32%,0.10%,0.09%
30,IDFC Bank Ltd.,55.78,98.34%,1.58%,0.08%,0.03%
31,RBL Bank Ltd.,53.69,99.84%,0.13%,0.03%,0.02%
32,One Mobikwik Systems Limited,51.77,99.54%,0.03%,0.43%,0.00%
33,The South Indian Bank Limited,51.40,99.83%,0.17%,0.01%,0.00%
34,Karur Vysya Bank,48.88,99.65%,0.27%,0.08%,0.05%
35,Tamilnad Mercantile Bank Limited,41.08,98.15%,1.11%,0.74%,0.09%
36,AU Small Finance Bank,38.17,99.16%,0.67%,0.17%,0.04%
37,Uttar Pradesh Gramin Bank,36.45,96.84%,0.28%,2.88%,0.74%
38,City Union Bank,32.36,99.46%,0.37%,0.17%,0.01%
39,Kerala Gramin Bank,31.22,99.69%,0.19%,0.12%,0.18%
40,Punjab and Sind Bank,28.47,97.78%,0.66%,1.57%,0.36%
41,Ujjivan Small Finance Bank Limited,28.22,99.67%,0.27%,0.06%,0.07%
42,Karnataka Gramin Bank,26.11,98.86%,1.00%,0.15%,0.12%
43,Rajasthan Gramin Bank,23.29,96.72%,2.02%,1.26%,0.49%
44,Slice Small Finance Bank,23.20,92.32%,7.52%,0.16%,0.13%
45,Telangana Grameena Bank,21.31,97.09%,2.75%,0.16%,0.14%
46,Citi Bank,19.89,99.77%,0.20%,0.03%,0.03%
47,Andhra Pradesh Grameena Bank,19.48,99.06%,0.39%,0.55%,0.18%
48,Suryoday Small Finance Bank Limited,17.45,97.75%,2.14%,0.12%,0.04%
49,ESAF Small Finance Bank Ltd,17.02,99.37%,0.38%,0.25%,0.05%
50,Maharashtra Gramin Bank,16.31,98.94%,0.09%,0.97%,0.43%
