bank_name,month_year,remitter_td_pct,beneficiary_td_pct,remitter_debit_friction_delta,remitter_lost_vol_mn,beneficiary_lost_vol_mn
"Indian Bank",2024-03,21.00,0.12,20.88,84.21,0.27
"Indian Overseas Bank",2026-01,21.00,0.14,20.86,80.47,0.23
"State Bank Of India",2024-08,21.00,0.15,20.85,850.99,2.34
"Karnataka Bank",2026-03,21.00,0.17,20.83,34.35,0.11
"ESAF Small Finance Bank Ltd.",2024-08,21.00,0.20,20.80,5.35,0.02
"Karnataka Bank",2026-05,21.00,0.23,20.77,35.14,0.15
"UCO Bank",2026-02,21.00,0.31,20.69,62.65,0.39
"ESAF Small Finance Bank Ltd.",2024-06,20.00,0.08,19.92,4.59,0.01
"Federal Bank",2024-03,20.00,0.11,19.89,40.97,0.41
"AU Small Finance Bank",2024-11,20.00,0.13,19.87,14.11,0.04
"Karnataka Bank",2025-10,20.00,0.13,19.87,29.47,0.08
"Au Small Finance Bank",2026-05,20.00,0.14,19.86,19.12,0.06
"State Bank Of India",2024-05,20.00,0.15,19.85,751.67,2.38
"Karur Vysya Bank",2026-04,20.00,0.17,19.83,20.89,0.09
"Punjab and Sind Bank",2024-10,20.00,0.18,19.82,9.58,0.04
"City Union Bank",2026-02,20.00,0.25,19.75,11.41,0.07
"City Union Bank",2026-06,20.00,0.27,19.73,12.68,0.08
"Union Bank Of India",2026-03,20.00,0.28,19.72,290.27,1.53
"Equitas Small Finance Bank",2025-11,20.00,0.63,19.37,5.61,0.09
"Canara Bank",2026-03,19.00,0.12,18.88,220.58,0.64
"Indian Bank",2025-09,20.00,1.12,18.88,129.42,3.28
"Federal Bank",2024-01,19.00,0.13,18.87,35.32,0.39
"Karur Vysya Bank",2024-11,19.00,0.13,18.87,14.50,0.05
"State Bank Of India",2024-01,19.00,0.18,18.82,594.50,2.35
"Indian Bank",2024-06,19.00,0.19,18.81,80.54,0.43
"Punjab National Bank",2025-08,19.00,0.21,18.79,214.95,0.94
"Indian Bank",2026-01,19.00,0.21,18.79,140.30,0.67
"India Post Payments Bank Limited",2026-03,19.00,0.24,18.76,167.99,0.94
"Bank Of India",2025-09,19.00,0.28,18.72,114.75,0.73
"Punjab National Bank",2024-10,18.00,0.05,17.95,172.05,0.19
"Airtel Payments Bank Limited",2026-01,18.00,0.08,17.92,132.86,0.42
"Indusind Bank Ltd.",2024-12,18.00,0.10,17.90,33.44,0.16
"Karur Vysya Bank",2026-05,18.00,0.14,17.86,19.62,0.08
"Indian Bank",2024-10,18.00,0.15,17.85,92.39,0.35
"Karur Vysya Bank",2024-05,18.00,0.16,17.84,12.30,0.06
"Karnataka Bank",2024-09,18.00,0.22,17.78,21.12,0.12
"Airtel Payments Bank Limited",2024-12,18.00,0.29,17.71,93.78,1.08
"Yes Bank Ltd.",2026-04,17.00,0.00,17.00,28.82,0.00
"Yes bank Ltd.",2024-06,17.00,0.00,17.00,20.22,0.00
"Yes Bank Ltd.",2026-06,17.00,0.00,17.00,28.88,0.00
"Yes Bank Ltd.",2026-03,17.00,0.00,17.00,28.45,0.00
"Yes Bank Ltd.",2025-11,17.00,0.00,17.00,29.87,0.00
"Yes Bank Ltd",2024-03,17.00,0.04,16.96,17.58,1.06
"State Bank Of India",2026-04,17.00,0.07,16.93,1051.13,1.55
"Airtel Payments Bank Limited",2026-06,17.00,0.07,16.93,126.38,0.35
"Indusind Bank Ltd.",2026-03,17.00,0.10,16.90,42.48,0.19
"Indian Bank",2024-11,17.00,0.12,16.88,82.38,0.26
"State Bank Of India",2026-05,17.00,0.15,16.85,1094.71,3.43
"AU small Finance Bank",2024-09,17.00,0.17,16.83,11.77,0.06
"BANDHAN BANK LIMITED",2026-06,17.00,0.19,16.81,17.11,0.11
"Indusind Bank Ltd.",2024-08,17.00,0.28,16.72,28.17,0.41
"DBS Bank India Limited",2024-04,17.00,0.95,16.05,4.49,0.11
"Ujjivan Small Finance Bank Limited",2025-12,16.00,0.06,15.94,9.56,0.02
"State Bank Of India",2026-03,16.00,0.07,15.93,1001.94,1.60
"UJJIVAN SMALL FINANCE BANK LIMITED",2026-01,16.00,0.08,15.92,9.65,0.02
"Karnataka Bank",2025-09,16.00,0.09,15.91,22.60,0.05
"UCO Bank",2024-10,16.00,0.12,15.88,35.25,0.12
"AU Small Finance Bank",2025-12,16.00,0.17,15.83,13.64,0.06
"City Union Bank",2024-11,16.00,0.19,15.81,7.16,0.05
"Icici Bank Ltd.",2026-03,16.00,0.20,15.80,122.93,0.89
"City Union Bank",2025-10,16.00,0.20,15.80,9.28,0.06
"Karur Vysya Bank",2026-06,16.00,0.21,15.79,17.40,0.12
"NSDL Payments Bank Limited",2025-02,15.71,0.02,15.69,4.84,0.01
"Indusind Bank Ltd.",2026-01,16.00,0.32,15.68,38.01,0.61
"UCO Bank",2024-04,16.00,0.81,15.19,27.51,0.68
"DBS Bank India Limited",2024-05,16.00,0.92,15.08,4.38,0.10
"Yes Bank Ltd.",2025-08,15.00,0.04,14.96,26.65,3.24
"IDBI Bank Ltd.",2026-01,15.00,0.05,14.95,32.84,0.04
"Canara Bank",2026-06,15.00,0.06,14.94,177.67,0.31
"Airtel Payments Bank Ltd",2024-08,15.00,0.09,14.91,65.69,0.26
"Karnataka Bank",2025-12,15.00,0.09,14.91,23.71,0.06
"Union Bank of India",2024-10,15.00,0.09,14.91,156.58,0.38
"Indian Bank",2024-04,15.00,0.11,14.89,61.09,0.24
"Bandhan Bank limited",2025-08,15.00,0.13,14.87,13.87,0.07
"Bank of Maharashtra",2024-11,15.00,0.13,14.87,25.15,0.11
"IDBI Bank Ltd.",2026-06,15.00,0.18,14.82,34.41,0.15
"Uco Bank",2026-04,15.00,0.21,14.79,49.36,0.28
"Canara Bank",2026-02,15.00,0.21,14.79,154.40,1.00
"Bank Of Maharashtra",2026-04,15.00,0.24,14.76,38.94,0.22
"UCO Bank",2025-12,15.00,0.27,14.73,46.68,0.36
"DBS Bank India Limited",2024-10,15.00,0.27,14.73,4.53,0.03
"City Union Bank",2025-09,15.00,0.31,14.69,8.41,0.10
"Yes Bank Ltd.",2025-09,14.00,0.01,13.99,22.84,0.79
"Kotak Mahindra Bank",2024-03,14.00,0.06,13.94,98.50,0.17
"Jio Payments Bank Ltd",2026-05,14.00,0.06,13.94,14.95,0.05
"Punjab National Bank",2025-09,14.00,0.06,13.94,156.54,0.27
"The South Indian Bank Limited",2026-04,14.00,0.07,13.93,11.37,0.03
"IDBI Bank Limited",2024-05,14.00,0.07,13.93,22.30,0.05
"The Jammu & Kashmir Bank Limited",2026-02,14.00,0.09,13.91,13.96,0.05
"CHAITANYA GODAVARI GRAMEENA BANK",2026-06,14.00,0.09,13.91,7.15,0.02
"ESAF Small Finance Bank Ltd",2025-09,14.00,0.10,13.90,4.76,0.02
"IDBI Bank Ltd.",2025-11,14.00,0.11,13.89,28.83,0.09
"Indian Bank",2025-08,14.00,0.12,13.88,91.54,0.35
"Karur Vysya Bank",2026-02,14.00,0.12,13.88,13.52,0.05
"City Union Bank",2024-10,14.00,0.12,13.88,6.68,0.03
"JIO PAYMENTS BANK LTD",2026-06,14.00,0.14,13.86,14.39,0.11
"Kotak Mahindra Bank",2026-03,14.00,0.16,13.84,158.79,0.74
"Union Bank of India",2025-11,14.00,0.17,13.83,178.47,0.84
"State Bank Of India",2024-07,14.00,0.23,13.77,547.80,3.66
"Airtel Payments Bank Ltd",2024-07,14.00,0.41,13.59,60.33,1.10
"Yes Bank Ltd.",2026-05,13.00,0.01,12.99,22.83,0.96
"Punjab National Bank",2026-03,13.00,0.03,12.97,169.20,0.16
"Union Bank of India",2024-12,13.00,0.05,12.95,139.19,0.21
"Karnataka Bank",2025-11,13.00,0.08,12.92,19.22,0.05
"IDFC FIRST Bank",2024-04,13.00,0.11,12.89,10.83,0.04
"City Union Bank",2024-12,13.00,0.11,12.89,6.36,0.03
"Indian Bank",2024-12,13.00,0.12,12.88,68.24,0.29
"Bank of Maharashtra",2025-10,13.00,0.12,12.88,30.02,0.11
"Bank of Baroda",2025-09,13.00,0.17,12.83,176.32,0.90
"Kotak Mahindra Bank",2025-08,13.00,0.18,12.82,127.16,0.67
"Karur Vysya Bank",2026-01,13.00,0.18,12.82,13.17,0.08
"Yes Bank Ltd.",2025-12,12.00,0.00,12.00,21.88,0.00
"Andhra Pragathi Grameena Bank",2025-01,12.07,0.07,12.00,3.09,0.01
"Airtel Payments Bank Limited",2025-08,12.00,0.05,11.95,76.47,0.24
"UCO Bank",2024-12,12.00,0.05,11.95,27.04,0.05
"Indian Bank",2026-03,12.00,0.06,11.94,95.29,0.20
"Karur Vysya Bank",2025-12,12.00,0.08,11.92,12.28,0.04
"Karur Vysya Bank",2025-11,12.00,0.10,11.90,11.46,0.05
"South Indian Bank",2024-04,12.00,0.11,11.89,6.30,0.04
"UCO Bank",2024-08,12.00,0.12,11.88,24.10,0.11
"IDFC Bank Ltd.",2025-10,12.00,0.12,11.88,14.54,0.06
"Union Bank of India",2026-06,12.00,0.13,11.87,177.87,0.71
"Airtel Payments Bank",2024-03,12.00,0.19,11.81,46.55,0.44
"NSDL Payments Bank Limited",2025-03,11.58,0.03,11.55,4.04,0.01
"Bank of Baroda",2024-09,11.00,0.04,10.96,109.61,0.17
"INDUSIND BANK Ltd.",2024-09,11.00,0.04,10.96,18.25,0.06
"ICICI Bank Ltd.",2024-12,11.00,0.05,10.95,77.07,0.31
"UCO Bank",2024-05,11.00,0.05,10.95,20.26,0.04
"DBS Bank India Limited",2024-01,11.00,0.06,10.94,2.70,0.01
"Indian Bank",2024-09,11.00,0.06,10.94,51.26,0.13
"Indusind Bank Ltd.",2026-04,11.00,0.07,10.93,27.29,0.14
"Bank Of India",2024-12,11.00,0.07,10.93,59.45,0.16
"Indian Bank",2025-10,11.00,0.07,10.93,75.61,0.21
"Punjab National Bank",2024-09,11.00,0.07,10.93,93.61,0.24
"UCO Bank",2024-02,11.00,0.08,10.92,16.36,0.06
"Federal Bank Ltd.",2025-12,11.00,0.10,10.90,31.61,0.39
"IDFC FIRST Bank",2024-02,11.00,0.10,10.90,8.18,0.04
"ESAF Small Finance Bank Ltd.",2024-09,11.00,0.11,10.89,2.83,0.01
"Bank of Baroda",2025-12,11.00,0.12,10.88,166.60,0.71
"Bank of Baroda",2025-11,11.00,0.13,10.87,156.21,0.72
"IDFC First Bank Ltd",2024-07,11.00,0.14,10.86,9.63,0.05
"South Indian Bank",2024-01,11.00,0.15,10.85,5.38,0.05
"Idbi Bank Ltd.",2026-04,11.00,0.17,10.83,24.94,0.15
"City Union Bank",2025-08,11.00,0.19,10.81,6.30,0.06
"Punjab national Bank",2024-11,10.00,0.01,9.99,88.19,0.04
"RBL Bank Ltd.",2025-10,10.00,0.02,9.98,2.96,0.01
"Kotak Mahindra Bank",2024-10,10.00,0.03,9.97,86.36,0.10
"Yes Bank Ltd",2024-01,10.00,0.04,9.96,9.35,0.84
"The Jammu & Kashmir Bank Limited",2026-06,10.00,0.04,9.96,12.17,0.03
"Bank of Baroda",2024-12,10.00,0.05,9.95,112.59,0.23
"Au Small Finance Bank",2026-03,10.00,0.06,9.94,9.25,0.02
"Bank Of Baroda",2026-03,10.00,0.08,9.92,164.92,0.50
"DBS Bank India Limited",2024-12,10.00,0.09,9.91,3.06,0.01
"South Indian Bank",2024-05,10.00,0.09,9.91,5.48,0.03
"Punjab and Sind Bank",2024-11,10.00,0.10,9.90,4.54,0.02
"Kotak Mahindra Bank",2025-09,10.00,0.10,9.90,96.59,0.37
"Indian Overseas Bank",2026-04,10.00,0.16,9.84,41.29,0.27
"Punjab national Bank",2024-07,10.00,0.18,9.82,83.72,0.60
"Union Bank Of India",2024-07,10.00,0.29,9.71,90.58,1.07
"Slice Small Finance Bank Limited",2026-04,10.00,0.37,9.63,7.69,0.13
"UCO Bank",2024-11,10.00,0.51,9.49,20.64,0.47
"Yes Bank Ltd.",2025-10,9.00,0.00,9.00,17.09,0.00
"Punjab national Bank",2024-08,9.00,0.02,8.98,75.15,0.07
"The South Indian Bank Limited",2024-12,9.00,0.05,8.95,6.02,0.02
"ICICI Bank",2024-03,9.00,0.05,8.95,54.33,0.32
"ICICI Bank Ltd.",2024-08,9.00,0.06,8.94,58.39,0.36
"HDFC Bank Ltd.",2024-12,9.00,0.06,8.94,126.31,0.48
"HDFC BANK LTD",2024-04,9.00,0.07,8.93,104.13,0.44
"ICICI Bank Ltd.",2025-11,9.00,0.07,8.93,66.92,0.38
"UCO Bank",2026-06,9.00,0.08,8.92,30.78,0.11
"Canara Bank",2026-05,9.00,0.08,8.92,108.46,0.43
"Tamilnad Mercantile Bank Limited",2026-01,9.00,0.10,8.90,5.55,0.04
"Federal Bank Ltd.",2026-03,9.00,0.10,8.90,26.40,0.39
"UCO Bank",2025-11,9.00,0.10,8.90,26.40,0.13
"HDFC Bank Ltd.",2026-02,9.00,0.11,8.89,137.28,1.12
"Indian Overseas Bank",2026-02,9.00,0.22,8.78,33.22,0.34
"Indusind Bank Ltd.",2024-07,9.00,0.22,8.78,14.54,0.29
"Baroda UP Gramin Bank",2024-01,36.31,27.93,8.38,7.06,2.85
"ICICI Bank",2024-04,8.00,0.02,7.98,47.94,0.12
"The South Indian Bank Limited",2026-06,8.00,0.03,7.97,6.72,0.02
"ICICI Bank",2024-01,8.00,0.04,7.96,43.80,0.26
"Indian Bank",2026-04,8.00,0.06,7.94,62.69,0.20
"Fino Payments Bank Ltd.",2024-12,8.00,0.06,7.94,14.06,0.06
"Bank of Maharashtra",2025-11,8.00,0.06,7.94,18.26,0.05
"IDFC Bank Ltd.",2025-08,8.00,0.08,7.92,9.64,0.04
"Indusind Bank Ltd.",2026-05,8.00,0.09,7.91,20.66,0.18
"ESAF Small Finance Bank Ltd",2025-08,8.00,0.10,7.90,2.80,0.02
"Karnataka Bank",2024-12,8.00,0.11,7.89,10.62,0.07
"Bank of India",2024-01,8.00,0.11,7.89,31.14,0.20
"Uco Bank",2026-03,8.00,0.11,7.89,26.85,0.15
"City Union Bank",2025-11,8.00,0.18,7.82,4.62,0.06
"JIO Payments Bank Ltd",2025-03,7.23,0.04,7.19,3.52,0.01
"Federal Bank Ltd.",2026-02,7.00,0.00,7.00,18.69,0.00
"RBL Bank Ltd.",2025-12,7.00,0.03,6.97,2.23,0.02
"Indusind Bank Ltd.",2026-06,7.00,0.03,6.97,17.82,0.06
"The South Indian Bank Limited",2024-11,7.00,0.04,6.96,4.40,0.02
"Karnataka Bank",2026-04,7.00,0.06,6.94,11.34,0.04
"AU small Finance Bank",2024-10,7.00,0.06,6.94,5.37,0.02
"Indian Overseas Bank",2025-10,7.00,0.06,6.94,24.54,0.10
"UJJIVAN SMALL FINANCE BANK LIMITED",2026-02,7.00,0.07,6.93,4.01,0.02
"Bank Of Baroda",2026-05,7.00,0.07,6.93,119.95,0.44
"Karnataka Bank",2025-08,7.00,0.16,6.84,9.94,0.10
"City Union Bank",2025-12,7.00,0.17,6.83,4.29,0.06
"Yes Bank Ltd.",2026-01,6.00,0.00,6.00,10.35,0.00
"Yes Bank Ltd.",2026-02,6.00,0.01,5.99,9.26,0.83
"Airtel Payments Bank Limited",2025-10,6.00,0.02,5.98,40.32,0.10
"Canara Bank",2025-10,6.00,0.02,5.98,60.84,0.09
"The South Indian Bank Limited",2025-10,6.00,0.02,5.98,4.61,0.01
"Federal Bank Ltd.",2024-12,6.00,0.03,5.97,14.72,0.12
"Federal Bank",2024-06,6.00,0.03,5.97,12.36,0.12
"South Indian Bank",2024-06,6.00,0.03,5.97,3.25,0.01
"Bank of Baroda",2024-10,6.00,0.03,5.97,67.00,0.14
"Bank of Maharashtra",2025-08,6.00,0.04,5.96,13.14,0.03
"The South Indian Bank Limited",2026-01,6.00,0.04,5.96,4.92,0.02
"HDFC Bank Ltd.",2024-08,6.00,0.05,5.95,76.24,0.36
"The South Indian Bank Limited",2026-02,6.00,0.05,5.95,4.55,0.02
"HDFC Bank Ltd",2024-05,6.00,0.06,5.94,72.68,0.39
"Indian Bank",2024-08,6.00,0.07,5.93,27.73,0.17
"Axis Bank Ltd.",2024-10,6.00,0.07,5.93,49.68,1.15
"Bank Of Baroda",2026-04,6.00,0.08,5.92,98.31,0.49
"India Post Payments Bank Limited",2026-06,6.00,0.11,5.89,52.83,0.42
"Fino Payments Bank Ltd.",2026-03,6.00,0.20,5.80,16.51,0.17
"Fino Payments Bank Ltd.",2026-02,6.00,0.22,5.78,14.18,0.20
"The Jammu & Kashmir Bank Limited",2025-07,5.79,0.02,5.77,6.16,0.01
"Uco Bank",2026-05,6.00,0.31,5.69,20.59,0.43
"Rajasthan Marudhara Gramin Bank",2025-02,5.59,0.04,5.55,1.72,0.00
"Rajasthan Marudhara Gramin Bank",2025-01,5.43,0.03,5.40,1.73,0.00
"Andhra Pragathi Grameena Bank",2025-04,5.22,0.05,5.17,1.47,0.01
"Telangana Grameena Bank",2025-01,5.13,0.04,5.09,1.37,0.00
"Axis Bank Ltd.",2024-09,5.00,0.00,5.00,36.95,0.00
"Federal Bank Ltd.",2026-04,5.00,0.01,4.99,14.41,0.04
"Kotak Mahindra Bank",2024-12,5.00,0.01,4.99,43.60,0.03
"Axis Bank Ltd.",2024-02,5.00,0.01,4.99,27.91,0.10
"Hdfc Bank Ltd.",2026-04,5.00,0.02,4.98,83.49,0.21
"Yes Bank Ltd",2024-05,5.00,0.02,4.98,6.06,1.12
"ICICI Bank",2024-05,5.00,0.02,4.98,31.38,0.13
"The Jammu & Kashmir Bank Limited",2026-05,5.00,0.02,4.98,6.34,0.01
"Federal Bank Ltd.",2025-09,5.00,0.02,4.98,12.97,0.07
"Bank of Baroda",2025-08,5.00,0.03,4.97,68.48,0.16
"ICICI Bank Ltd.",2025-12,5.00,0.04,4.96,38.87,0.22
"NSDL Payments Bank Limited",2025-01,5.00,0.04,4.96,1.46,0.01
"Bank Of India",2026-05,5.00,0.04,4.96,37.47,0.12
"IDFC Bank Ltd.",2025-11,5.00,0.04,4.96,6.07,0.02
"HDFC Bank Ltd.",2026-01,5.00,0.06,4.94,82.56,0.67
"Yes Bank Ltd.",2024-07,5.00,0.06,4.94,6.17,3.44
"IDFC Bank Ltd.",2026-06,5.00,0.06,4.94,8.22,0.03
"Union Bank of India",2025-09,5.00,0.08,4.92,60.76,0.38
"Bank Of India",2026-01,5.00,0.09,4.91,34.37,0.27
"Karnataka Bank",2026-06,5.00,0.10,4.90,8.13,0.06
"City Union Bank",2026-01,5.00,0.14,4.86,3.00,0.04
"City Union Bank",2026-05,5.00,0.16,4.84,3.18,0.05
"RBL Bank",2024-02,10.06,5.34,4.72,1.54,2.81
"Baroda UP Gramin Bank",2024-03,15.22,10.54,4.68,3.40,1.18
"Rajasthan Marudhara Gramin Bank",2026-04,6.03,1.44,4.59,3.96,0.37
"Andhra Pragathi Grameena Bank",2024-10,11.34,6.88,4.46,2.49,0.72
"Karnataka Gramin Bank",2025-01,4.46,0.03,4.43,1.49,0.00
"Andhra Pragathi Grameena Bank",2024-12,11.16,6.78,4.38,2.91,0.80
"ESAF Small Finance Bank Ltd",2025-03,4.26,0.04,4.22,1.36,0.01
"Andhra Pragathi Grameena Bank",2025-06,4.26,0.06,4.20,1.26,0.01
"Baroda UP Gramin Bank",2024-04,15.41,11.26,4.15,3.46,1.24
"TELANGANA GRAMEENA BANK",2026-06,6.07,2.05,4.02,3.51,0.47
"Bank Of India",2026-04,4.00,0.01,3.99,28.50,0.03
"The South Indian Bank Limited",2025-12,4.00,0.01,3.99,3.26,0.01
"Federal Bank Ltd.",2025-10,4.00,0.01,3.99,10.93,0.04
"Bank of Baroda",2025-10,4.00,0.02,3.98,57.52,0.11
"Union Bank of India",2025-10,4.00,0.02,3.98,51.30,0.10
"Federal Bank",2024-04,4.00,0.03,3.97,8.26,0.11
"Bank of Baroda",2024-01,4.00,0.03,3.97,31.27,0.10
"ICICI Bank Ltd.",2026-06,4.00,0.03,3.97,30.64,0.13
"Federal Bank Ltd.",2026-05,4.00,0.04,3.96,12.04,0.16
"The Jammu & Kashmir Bank Limited",2026-04,4.00,0.05,3.95,4.66,0.03
"Idfc Bank Ltd.",2026-04,4.00,0.05,3.95,5.76,0.03
"State Bank of India",2026-02,4.00,0.06,3.94,220.72,1.22
"South Indian Bank",2024-03,4.00,0.06,3.94,2.12,0.02
"IDFC First Bank",2024-05,4.00,0.07,3.93,3.48,0.03
"Bank of Baroda",2024-11,4.00,0.07,3.93,41.43,0.29
"Federal bank Ltd.",2024-07,4.00,0.09,3.91,8.58,0.36
"Andhra Pragathi Grameena Bank",2025-03,3.91,0.02,3.89,1.10,0.00
"Telangana Grameena Bank",2025-02,3.81,0.02,3.79,1.19,0.00
"Equitas Bank",2024-02,4.00,0.25,3.75,1.16,0.03
"Andhra Pragathi Grameena Bank",2025-07,3.78,0.03,3.75,1.21,0.00
"Baroda Uttar Pradesh Gramin Bank",2024-06,15.42,11.68,3.74,3.71,1.37
"India Post Payment Bank",2024-01,5.14,1.45,3.69,13.63,1.64
"Baroda U.P. Bank",2026-03,10.17,6.55,3.62,9.16,3.00
"Karnataka Gramin Bank (Erstwhile Pragathi Krishna Gramin Bank)",2024-08,7.83,4.26,3.57,2.36,0.59
"Andhra Pragathi Grameena Bank",2025-02,3.53,0.02,3.51,0.84,0.00
"Telangana Grameena Bank",2025-03,3.42,0.02,3.40,1.27,0.00
"NSDL Payments Bank Limited",2026-02,4.88,1.60,3.28,3.32,1.77
"Baroda U.P. Bank",2025-01,3.23,0.02,3.21,1.16,0.00
"Slice Small Finance Bank Limited",2026-05,7.00,3.82,3.18,6.02,1.54
"Central Bank Of India",2024-02,7.80,4.71,3.09,13.99,4.00
"The Jammu & Kashmir Bank Limited",2024-11,4.29,1.27,3.02,3.28,0.53
"Axis Bank Ltd.",2024-04,3.00,0.00,3.00,18.27,0.00
"Federal bank Ltd.",2024-08,3.00,0.01,2.99,6.64,0.04
"Axis Bank Ltd.",2024-12,3.00,0.01,2.99,24.30,0.17
"Federal Bank Ltd.",2026-01,3.00,0.01,2.99,8.71,0.04
"Federal Bank Ltd.",2026-06,3.00,0.01,2.99,8.75,0.04
"HDFC Bank Ltd.",2025-12,3.00,0.02,2.98,49.63,0.22
"Paytm Payments Bank",2024-03,3.00,0.02,2.98,2.95,0.50
"Federal Bank Ltd.",2025-11,3.00,0.03,2.97,8.10,0.11
"Kotak Mahindra Bank",2025-10,3.00,0.03,2.97,30.93,0.12
"IDFC Bank Ltd.",2024-12,3.00,0.05,2.95,3.02,0.02
"Idfc Bank Ltd.",2026-05,3.00,0.05,2.95,5.01,0.03
"IDFC Bank Ltd.",2025-12,3.00,0.08,2.92,3.80,0.04
"Idfc Bank Ltd.",2026-03,3.00,0.08,2.92,4.91,0.05
"IDFC Bank Ltd.",2025-09,3.00,0.10,2.90,3.43,0.05
"Andhra Pragathi Grameena Bank",2025-05,2.85,0.02,2.83,0.82,0.00
"IDFC FIRST Bank",2024-01,3.00,0.18,2.82,2.22,0.07
"Telangana Grameena Bank",2025-06,2.79,0.00,2.79,1.15,0.00
"Karnataka Gramin Bank",2025-04,2.80,0.03,2.77,0.97,0.00
"Maharashtra Gramin Bank",2025-04,2.73,0.02,2.71,0.97,0.00
"Telangana Grameena Bank",2026-04,3.09,0.38,2.71,1.64,0.09
"The Jammu & Kashmir Bank Limited",2024-12,3.89,1.25,2.64,3.18,0.55
"Nsdl Payments Bank Limited",2026-04,3.67,1.06,2.61,2.95,1.25
"Karnataka Gramin Bank",2025-06,2.56,0.02,2.54,0.88,0.00
"Punjab and Sind Bank",2024-04,9.01,6.48,2.53,3.11,0.94
"Andhra Pragathi Grameena Bank",2024-04,5.92,3.40,2.52,1.08,0.32
"Baroda U.P. Bank",2025-03,2.51,0.02,2.49,1.08,0.00
"Andhra Pragathi Grameena Bank",2024-06,6.28,3.81,2.47,1.15,0.34
"Bandhan Bank limited",2025-03,2.48,0.02,2.46,2.06,0.01
"Bank Of India",2025-07,2.44,0.02,2.42,14.79,0.05
"Airtel Payments Bank Limited",2025-02,2.41,0.01,2.40,11.92,0.03
"Rajasthan Marudhara Gramin Bank",2025-07,2.38,0.02,2.36,0.86,0.00
"The Jammu & Kashmir Bank Limited",2025-02,2.36,0.01,2.35,1.90,0.00
"Rajasthan Gramin Bank",2025-11,2.83,0.60,2.23,1.39,0.13
"Central Bank Of India",2024-01,5.18,2.97,2.21,9.24,2.53
"JIO Payments Bank Ltd",2025-12,2.75,0.56,2.19,2.35,0.49
"Baroda U.P. Bank",2025-08,7.63,5.50,2.13,4.10,1.38
"Central Bank Of India",2024-04,3.83,1.73,2.10,7.68,1.59
"Kerala Gramin Bank",2024-11,5.89,3.80,2.09,2.35,0.83
"Andhra Pradesh Grameena Vikas Bank",2024-11,5.67,3.61,2.06,1.80,0.52
"Bandhan Bank limited",2025-02,2.05,0.01,2.04,1.53,0.00
"Baroda U.P. Bank",2026-02,7.26,5.22,2.04,5.47,2.01
"Rajasthan Gramin Bank",2025-12,3.29,1.26,2.03,1.81,0.29
"Baroda U.P. Bank",2025-05,2.04,0.01,2.03,0.93,0.00
"Rajasthan Marudhara Gramin Bank",2024-03,4.78,2.77,2.01,1.19,0.33
"Axis Bank Ltd.",2025-08,2.00,0.00,2.00,18.06,0.00
"Axis Bank Ltd.",2024-06,2.00,0.00,2.00,13.04,0.00
"Maharashtra Gramin Bank",2025-02,2.01,0.02,1.99,0.61,0.00
"Bandhan Bank limited",2025-01,2.01,0.02,1.99,1.58,0.01
"AU Small Finance Bank",2024-06,2.00,0.01,1.99,0.93,0.00
"Icici Bank Ltd.",2026-05,2.00,0.01,1.99,15.91,0.04
"HDFC Bank Ltd.",2025-10,2.00,0.01,1.99,32.78,0.11
"HDFC BANK LTD",2024-09,2.00,0.01,1.99,25.35,0.07
"AU small Finance Bank",2024-08,2.00,0.02,1.98,1.39,0.01
"South Indian Bank",2024-02,2.00,0.02,1.98,0.98,0.01
"UCO Bank",2026-01,2.00,0.02,1.98,6.33,0.03
"Indian Overseas Bank",2026-03,2.00,0.02,1.98,8.35,0.03
"Indian Overseas Bank",2026-05,2.00,0.02,1.98,8.75,0.04
"IDFC Bank Ltd.",2026-01,2.00,0.04,1.96,2.62,0.02
"Hdfc Bank Ltd.",2026-05,2.00,0.05,1.95,34.71,0.55
"AU Small Finance Bank",2024-07,2.00,0.08,1.92,0.97,0.02
"ICICI Bank Ltd.",2024-07,2.00,0.09,1.91,12.59,0.54
"HDFC Bank Ltd.",2025-11,2.00,0.09,1.91,31.76,0.94
"Indian Bank",2024-07,2.00,0.13,1.87,8.99,0.32
"Central Bank Of India",2024-03,3.33,1.46,1.87,6.67,1.36
"Baroda UP Gramin Bank",2024-02,8.19,6.34,1.85,1.40,0.58
"Baroda U.P. Bank",2025-02,1.84,0.01,1.83,0.65,0.00
"Andhra Pragathi Grameena Bank",2024-11,5.89,4.12,1.77,1.27,0.43
"Pragathi Krishna Gramin Bank",2024-09,3.57,1.81,1.76,1.03,0.25
"DBS Bank India Limited",2024-09,2.00,0.26,1.74,0.56,0.03
"JIO Payments Bank Ltd",2025-08,3.55,1.83,1.72,2.17,0.96
"Rajasthan Marudhara Gramin Bank",2025-03,1.71,0.01,1.70,0.59,0.00
"Rajasthan Marudhara Gramin Bank",2024-11,2.26,0.56,1.70,0.60,0.06
"Maharashtra Gramin Bank",2025-01,1.69,0.01,1.68,0.53,0.00
"Baroda U.P. Bank",2025-07,1.68,0.01,1.67,0.81,0.00
"ESAF Small Finance Bank Ltd.",2024-01,6.37,4.71,1.66,1.33,0.49
"Pragathi Krishna Gramin Bank",2024-04,3.72,2.07,1.65,1.00,0.27
"India Post Payment Bank",2024-02,3.81,2.16,1.65,10.33,2.58
