bank_name,month_year,remitter_td_pct,beneficiary_td_pct,remitter_debit_friction_delta,remitter_lost_vol_mn,beneficiary_lost_vol_mn
"Esaf Small Finance Bank Ltd",2026-03,69.00,0.52,68.48,26.28,0.09
"Rajasthan Marudhara Gramin Bank",2026-03,68.00,0.10,67.90,43.63,0.03
"Canara Bank",2024-12,68.00,0.51,67.49,556.68,2.29
"Kotak Mahindra Bank",2024-09,68.00,0.66,67.34,524.40,1.91
"UCO Bank",2024-07,68.00,0.71,67.29,132.55,0.64
"Central Bank of India",2026-06,68.00,0.77,67.23,290.61,1.39
"Canara Bank",2025-11,67.00,0.74,66.26,678.35,3.53
"Central Bank of India",2025-09,66.00,0.25,65.75,205.86,0.36
"Equitas Small Finance Bank Ltd",2024-08,66.00,0.34,65.66,21.71,0.05
"Bank Of India",2025-11,66.00,0.55,65.45,420.94,1.51
"Canara Bank",2024-04,66.00,0.59,65.41,423.79,1.75
"AU Small Finance Bank",2025-09,66.00,0.65,65.35,50.93,0.22
"Indian Overseas Bank",2024-12,65.00,0.29,64.71,167.19,0.38
"Union Bank Of India",2024-08,65.00,0.43,64.57,612.25,1.63
"Punjab and Sind Bank",2024-09,65.00,0.45,64.55,28.30,0.10
"Rajasthan Marudhara Gramin Bank",2024-02,66.00,1.55,64.45,13.35,0.16
"ESAF Small Finance Bank Ltd",2025-11,64.00,0.37,63.63,22.30,0.06
"State Bank of India",2025-09,64.00,0.57,63.43,3376.08,11.83
"INDIA POST PAYMENTS BANK LIMITED",2026-01,64.00,0.59,63.41,532.93,2.18
"Chaitanya Godavari Grameena Bank",2026-05,64.00,0.61,63.39,32.09,0.15
"Indian Overseas Bank",2025-08,64.00,0.68,63.32,211.30,1.04
"Rajasthan Marudhara Gramin Bank",2024-01,63.00,0.29,62.71,12.61,0.03
"Ujjivan Small Finance Bank",2024-02,63.00,0.39,62.61,23.88,0.08
"ESAF SMALL FINANCE BANK LTD",2026-01,63.00,0.49,62.51,23.32,0.08
"Ujjivan Small Finance Bank Limited",2025-10,62.00,0.45,61.55,34.94,0.12
"India Post Payments Bank Limited",2025-12,63.00,1.56,61.44,485.65,5.53
"Saraswat Bank",2024-04,62.00,0.62,61.38,14.47,0.05
"Au Small Finance Bank",2026-04,62.00,0.66,61.34,55.79,0.26
"Rbl Bank Ltd.",2026-04,61.00,0.24,60.76,18.86,0.12
"Ujjivan Small Finance Bank",2024-05,61.00,0.37,60.63,27.51,0.08
"Punjab National Bank",2026-02,61.00,0.59,60.41,701.59,2.77
"Bank of Baroda",2024-08,60.00,0.35,59.65,591.52,1.51
"Central Bank of India",2024-08,59.00,0.28,58.72,128.79,0.31
"INDIA POST PAYMENTS BANK LIMITED",2026-02,59.00,0.39,58.61,453.73,1.35
"Karur Vysya Bank",2025-08,59.00,0.40,58.60,56.13,0.18
"Federal Bank Ltd.",2025-08,59.00,0.44,58.56,157.19,1.62
"Bank of Baroda",2024-07,59.00,0.47,58.53,563.34,2.14
"Tamilnad Mercantile Bank",2024-04,59.00,0.51,58.49,21.30,0.12
"Bank of Baroda",2026-06,59.00,0.52,58.48,999.01,3.20
"Fincare Small Finance Bank Ltd",2024-04,59.00,0.53,58.47,12.79,0.06
"Karnataka Bank",2024-01,59.00,0.54,58.46,57.44,0.23
"City Union Bank",2024-09,58.00,0.50,57.50,25.69,0.12
"Union Bank of India",2025-12,58.00,0.59,57.41,781.25,3.11
"State Bank of India",2025-12,57.00,0.22,56.78,3325.23,4.80
"State Bank of India",2024-11,57.00,0.38,56.62,2383.81,5.95
"Bank Of India",2026-02,57.00,0.72,56.28,367.15,1.98
"RBL Bank Ltd.",2026-01,56.00,0.21,55.79,17.39,0.10
"RBL Bank Ltd.",2025-08,56.00,0.31,55.69,18.00,0.30
"Punjab National Bank",2025-12,56.00,0.43,55.57,675.49,2.13
"AU small Finance Bank",2026-01,56.00,0.45,55.55,48.82,0.17
"Canara Bank",2026-01,55.00,0.48,54.52,601.57,2.42
"State Bank of India",2025-10,55.00,0.62,54.38,3042.20,13.48
"Punjab National Bank",2026-01,54.00,0.38,53.62,660.36,1.89
"Slice Small Finance Bank Limited",2026-03,54.00,0.45,53.55,36.08,0.15
"Tamilnad Mercantile Bank",2024-02,54.00,0.48,53.52,17.65,0.10
"Bank of India",2024-10,54.00,0.54,53.46,290.65,1.27
"Fino Payments Bank Ltd.",2026-06,54.00,0.56,53.44,151.02,0.46
"Yes Bank Ltd",2024-04,53.00,0.01,52.99,56.19,0.51
"Idbi Bank Ltd.",2026-03,54.00,1.03,52.97,123.38,0.91
"RBL Bank Ltd.",2025-09,53.00,0.15,52.85,15.76,0.07
"Bank Of India",2024-08,53.00,0.45,52.55,253.48,0.94
"ICICI Bank Ltd.",2025-08,52.00,0.24,51.76,391.45,1.33
"Airtel Payments Bank",2024-05,52.00,0.35,51.65,215.15,0.93
"Indian Bank",2026-05,52.00,0.49,51.51,418.42,1.57
"Punjab and Sind Bank",2024-07,52.00,0.55,51.45,21.19,0.10
"Central Bank of India",2025-10,51.00,0.27,50.73,170.15,0.41
"Fino Payments Bank Ltd.",2025-12,51.00,0.61,50.39,131.38,0.63
"IDBI Bank Ltd.",2025-09,51.00,0.63,50.37,102.80,0.52
"Fino Payments Bank Limited",2024-04,51.00,0.66,50.34,68.40,0.43
"IDBI Bank Limited",2024-04,51.00,0.93,50.07,77.14,0.60
"The Jammu & Kashmir Bank Limited",2025-12,50.00,0.20,49.80,53.75,0.12
"Karur Vysya Bank",2024-02,50.00,0.23,49.77,30.17,0.07
"Sarva Haryana Gramin Bank",2024-03,50.00,0.34,49.66,8.86,0.03
"Fino Payments Bank Ltd.",2026-05,50.00,0.47,49.53,143.19,0.39
"Karnataka Bank",2024-10,50.00,0.51,49.49,63.05,0.30
"Punjab and Sind Bank",2024-08,49.00,0.37,48.63,20.77,0.08
"Fino Payments Bank Limited",2024-02,49.00,0.38,48.62,56.96,0.19
"City Union Bank",2024-08,49.00,0.50,48.50,21.85,0.12
"Bank of Maharashtra",2024-12,48.00,0.37,47.63,90.44,0.37
"State Bank of India",2024-12,48.00,0.38,47.62,2179.26,6.47
"The Jammu & Kashmir Bank Limited",2025-09,47.00,0.23,46.77,44.47,0.12
"INDUSIND BANK",2024-03,47.00,0.36,46.64,67.04,0.47
"Federal Bank",2024-05,47.00,0.41,46.59,99.97,1.60
"Karur Vysya Bank",2024-06,47.00,0.65,46.35,31.93,0.24
"Union Bank of India",2024-09,47.00,1.01,45.99,436.30,3.80
"Indusind Bank Ltd.",2024-06,46.00,0.37,45.63,71.34,0.46
"Karnataka Bank Ltd",2024-06,46.00,0.37,45.63,49.91,0.18
"Tamilnad Mercantile Bank Limited",2024-11,46.00,0.39,45.61,19.54,0.11
"Fincare Small Finance Bank Ltd",2024-05,46.00,0.41,45.59,9.91,0.04
