bank_name,month_year,current_td_pct,prev_month_td_pct,td_spike_diff,total_volume_mn
"Federal Bank",2024-05,47.00,4.00,43.00,212.71
"Indian Overseas Bank",2024-12,65.00,22.00,43.00,257.21
"Indusind Bank Ltd.",2025-11,74.00,31.00,43.00,218.34
"Indian Overseas Bank",2024-05,44.00,1.74,42.26,197.96
"Canara Bank",2024-08,78.00,36.00,42.00,722.42
"Central Bank of India",2025-11,93.00,51.00,42.00,334.49
"INDUSIND BANK",2024-04,89.00,47.00,42.00,150.57
"Tamilnad Mercantile Bank Limited",2026-05,72.00,30.00,42.00,67.33
"UCO Bank",2025-09,79.00,37.00,42.00,281.68
"Central Bank of India",2024-12,43.00,1.07,41.93,244.52
"State Bank of India",2025-08,42.00,0.61,41.39,5368.74
"ESAF Small Finance Bank Ltd",2025-11,64.00,23.00,41.00,34.85
"UCO Bank",2024-07,68.00,27.00,41.00,194.92
"AU small Finance Bank",2026-01,56.00,16.00,40.00,87.17
"IDFC Bank Ltd.",2026-02,42.00,2.00,40.00,143.48
"ESAF Small Finance Bank Ltd.",2024-04,40.00,1.06,38.94,21.48
"IDFC Bank Ltd.",2024-10,44.00,6.00,38.00,99.72
"Tamilnad Mercantile Bank Limited",2025-12,83.00,45.00,38.00,62.47
"Kotak Mahindra Bank",2024-05,39.00,1.78,37.22,746.83
"Saraswat Co-Operative Bank",2026-05,100.00,63.00,37.00,35.29
"Ujjivan Small Finance Bank",2024-05,61.00,24.00,37.00,45.10
"UCO Bank",2025-08,37.00,0.18,36.82,283.93
"NSDL Payments Bank Limited",2025-11,69.00,33.00,36.00,58.75
"Yes Bank Ltd",2024-04,53.00,17.00,36.00,106.01
"Canara Bank",2025-08,36.00,0.24,35.76,970.63
"Nsdl Payments Bank Limited",2026-05,39.00,3.67,35.33,84.08
"Bank Of India",2025-11,66.00,31.00,35.00,637.79
"ICICI Bank Ltd.",2026-01,40.00,5.00,35.00,764.26
"Kotak Mahindra Bank",2025-11,38.00,3.00,35.00,1010.55
"Ujjivan Small Finance Bank Limited",2024-12,72.00,38.00,34.00,48.39
"Bank of Maharashtra",2024-12,48.00,15.00,33.00,188.42
"ESAF SMALL FINANCE BANK LTD",2026-01,63.00,30.00,33.00,37.02
"Equitas Small Finance Bank",2025-08,33.00,0.01,32.99,29.43
"Canara Bank",2024-05,98.00,66.00,32.00,670.33
"Karnataka Bank",2024-10,50.00,18.00,32.00,126.09
"NSDL Payments Bank Limited",2025-10,33.00,1.40,31.60,58.08
"Sarva Haryana Gramin Bank",2024-10,36.00,4.47,31.53,21.22
"Bank Of India",2024-06,32.00,1.68,30.32,444.39
"Central Bank of India",2024-07,32.00,1.74,30.26,211.52
"Saraswat Bank",2024-04,62.00,32.00,30.00,23.34
"Punjab National Bank",2024-05,31.00,1.11,29.89,785.36
"BANDHAN BANK LIMITED",2026-01,29.00,0.00,29.00,99.04
"Canara Bank",2024-04,66.00,37.00,29.00,642.10
"DBS Bank India Limited",2024-11,44.00,15.00,29.00,28.24
"IDBI Bank",2024-09,55.00,26.00,29.00,167.82
"Karur Vysya Bank",2024-06,47.00,18.00,29.00,67.93
"Fino Payments Bank Ltd.",2026-05,50.00,22.00,28.00,286.37
"Punjab National Bank",2025-12,56.00,28.00,28.00,1206.23
"RBL Bank Ltd.",2025-11,38.00,10.00,28.00,28.73
"Rbl Bank Ltd.",2026-04,61.00,33.00,28.00,30.92
"State Bank of India",2025-12,57.00,29.00,28.00,5833.74
"Tamilnad Mercantile Bank",2024-02,54.00,26.00,28.00,32.68
"Karnataka Bank",2024-05,29.00,1.05,27.95,110.31
"Karur Vysya Bank",2024-10,29.00,1.25,27.75,79.62
"Bank Of Maharashtra",2026-03,28.00,1.00,27.00,260.31
"Central Bank of India",2024-08,59.00,32.00,27.00,218.28
"Federal Bank Ltd.",2024-10,31.00,4.00,27.00,238.16
"Slice Small Finance Bank Limited",2026-06,31.00,4.00,27.00,65.27
"Punjab and Sind Bank",2024-05,36.00,9.01,26.99,38.16
"Tamilnad Mercantile Bank Limited",2025-09,28.00,1.28,26.72,55.19
"Bank of Baroda",2024-07,59.00,33.00,26.00,954.81
"Bank Of India",2026-06,31.00,5.00,26.00,736.01
"Equitas Small Finance Bank",2026-05,32.00,6.00,26.00,30.79
"Fino Payments Bank Ltd.",2026-01,77.00,51.00,26.00,229.08
"IDBI Bank Ltd.",2025-12,40.00,14.00,26.00,216.21
