bank_name,month_year,current_td_pct,prev_month_td_pct,td_spike_diff,total_volume_mn
"ICICI Bank Ltd.",2026-06,4.00,2.00,2.00,766.11
"IDFC Bank Ltd.",2026-06,5.00,3.00,2.00,164.31
"Jio Payments Bank Ltd",2026-03,30.00,28.00,2.00,101.97
"Karnataka Bank",2025-12,15.00,13.00,2.00,158.04
"Paytm Payments Bank",2024-03,3.00,1.00,2.00,98.18
"Punjab And Sind Bank",2026-03,28.00,26.00,2.00,69.58
"Punjab National Bank",2024-09,11.00,9.00,2.00,851.00
"Saraswat Bank",2024-05,64.00,62.00,2.00,23.75
"South Indian Bank",2024-03,4.00,2.00,2.00,53.06
"Standard Chartered Bank",2024-08,3.00,1.00,2.00,26.22
"State Bank of India",2024-06,22.00,20.00,2.00,3738.00
"Tamilnad Mercantile Bank Limited",2024-10,38.00,36.00,2.00,44.76
"The South Indian Bank Limited",2024-12,9.00,7.00,2.00,66.90
"The South Indian Bank Limited",2026-01,6.00,4.00,2.00,81.99
"UCO Bank",2024-12,12.00,10.00,2.00,225.35
"Ujjivan Small Finance Bank",2024-04,24.00,22.00,2.00,42.92
"Airtel Payments Bank Limited",2025-02,2.41,0.45,1.96,494.58
"Axis Bank Ltd.",2025-08,2.00,0.04,1.96,902.87
"Baroda U.P. Bank",2025-01,3.23,1.29,1.94,35.83
"Maharashtra Gramin Bank",2024-12,3.03,1.09,1.94,29.54
"Maharashtra Gramin Bank",2026-06,3.00,1.08,1.92,44.47
"Bank Of India",2025-08,4.32,2.44,1.88,605.10
"Pragathi Krishna Gramin Bank",2024-09,3.57,1.83,1.74,28.74
"Andhra Pragathi Grameena Bank",2024-07,7.99,6.28,1.71,17.96
"AU Small Finance Bank",2025-08,2.33,0.68,1.65,79.26
"Karnataka Gramin Bank",2025-04,2.80,1.16,1.64,34.52
"Pragathi Krishna Gramin Bank",2024-04,3.72,2.10,1.62,26.83
"Baroda U.P. Bank",2026-05,4.91,3.33,1.58,92.52
"Bank of Maharashtra",2024-03,4.83,3.26,1.57,153.39
"SARVA HARYANA GRAMIN BANK",2026-02,2.66,1.10,1.56,26.06
"Karnataka Gramin Bank",2026-04,2.58,1.14,1.44,61.40
"Andhra Pragathi Grameena Bank",2025-06,4.26,2.85,1.41,29.66
"DBS Bank India Limited",2025-08,1.48,0.15,1.33,31.37
"Andhra Pragathi Grameena Bank",2025-04,5.22,3.91,1.31,28.12
"Karnataka Gramin Bank",2024-11,3.41,2.13,1.28,30.31
"ESAF Small Finance Bank Ltd",2025-02,1.57,0.31,1.26,28.79
"Telangana Grameena Bank",2026-04,3.09,1.84,1.25,53.21
"Maharashtra Gramin Bank",2025-04,2.73,1.50,1.23,35.66
"Saraswat Co-operative Bank",2025-08,1.37,0.15,1.22,30.02
"Karnataka Gramin Bank",2025-06,2.56,1.36,1.20,34.24
"Jio Payments Bank limited",2024-08,2.94,1.75,1.19,20.10
"Bank Of India",2025-07,2.44,1.30,1.14,606.19
"Sarva Haryana Gramin Bank",2025-05,2.87,1.73,1.14,26.07
"Tamilnad Mercantile Bank Limited",2025-07,1.27,0.15,1.12,55.91
"Indian Overseas Bank",2024-09,2.71,1.64,1.07,221.41
"Kerala Gramin Bank",2025-08,2.69,1.64,1.05,50.92
"Maharashtra Gramin Bank",2024-10,2.27,1.23,1.04,29.85
"Kerala Gramin Bank",2024-08,2.87,1.85,1.02,34.73
"Punjab and Sind Bank",2024-03,4.18,3.16,1.02,36.91
"Airtel Payments Bank Limited",2025-12,24.00,23.00,1.00,713.93
"Airtel Payments Bank Ltd",2024-08,15.00,14.00,1.00,437.93
"Axis Bank Ltd.",2024-10,6.00,5.00,1.00,827.97
"Axis Bank Ltd.",2025-12,1.00,0.00,1.00,1107.12
"Axis Bank Ltd.",2026-04,1.00,0.00,1.00,1017.31
"Bank of Baroda",2024-08,60.00,59.00,1.00,985.86
"Bank Of Baroda",2026-05,7.00,6.00,1.00,1713.53
"Bank Of India",2026-05,5.00,4.00,1.00,749.48
"Canara Bank",2024-02,45.00,44.00,1.00,578.21
"Citi Bank",2024-05,37.00,36.00,1.00,20.03
"City Union Bank",2025-10,16.00,15.00,1.00,57.97
"EQUITAS SMALL FINANCE BANK",2026-01,2.00,1.00,1.00,29.41
"ESAF Small Finance Bank Ltd",2024-11,11.00,10.00,1.00,27.19
"Federal Bank Ltd.",2024-09,4.00,3.00,1.00,220.03
"HDFC Bank Ltd.",2025-10,2.00,1.00,1.00,1638.91
"HDFC Bank Ltd.",2025-12,3.00,2.00,1.00,1654.30
"Idfc Bank Ltd.",2026-04,4.00,3.00,1.00,143.99
"INDIA POST PAYMENTS BANK LIMITED",2026-01,64.00,63.00,1.00,832.71
"Indusind Bank Ltd.",2025-10,31.00,30.00,1.00,225.19
"Karur Vysya Bank",2026-01,13.00,12.00,1.00,101.30
"Karur Vysya Bank",2026-02,14.00,13.00,1.00,96.54
"Punjab And Sind Bank",2026-04,29.00,28.00,1.00,69.04
"State Bank Of India",2026-04,17.00,16.00,1.00,6183.11
"The Jammu & Kashmir Bank Limited",2026-05,5.00,4.00,1.00,126.89
"Ujjivan Small Finance Bank Limited",2024-11,38.00,37.00,1.00,45.21
"Union Bank Of India",2026-05,1.00,0.00,1.00,1508.82
"Karnataka Gramin Bank",2024-12,4.36,3.41,0.95,32.82
"Standard Chartered Bank",2025-04,0.97,0.03,0.94,27.01
"Telangana Grameena Bank",2025-08,2.47,1.54,0.93,40.42
"HDFC Bank Ltd.",2025-08,1.00,0.08,0.92,1581.09
"Andhra Pragathi Grameena Bank",2025-01,12.07,11.16,0.91,25.58
"Rajasthan Marudhara Gramin Bank",2025-07,2.38,1.47,0.91,36.15
"Maharashtra Gramin Bank",2025-08,2.44,1.56,0.88,38.08
"Ujjivan Small Finance Bank Limited",2025-07,1.16,0.30,0.86,54.99
"Rajasthan Marudhara Gramin Bank",2025-06,1.47,0.62,0.85,33.30
"Bandhan Bank limited",2024-12,2.34,1.55,0.79,76.61
"Fino Payments Bank Ltd.",2025-08,1.42,0.64,0.78,237.47
"JIO Payments Bank Ltd",2025-12,2.75,1.97,0.78,85.37
"Maharashtra Gramin Bank",2025-07,1.56,0.85,0.71,37.37
"Kerala Gramin Bank",2025-03,1.32,0.63,0.69,43.54
"Maharashtra Gramin Bank",2025-09,3.12,2.44,0.68,30.47
"Bank of Maharashtra",2024-05,2.06,1.39,0.67,152.68
"Baroda U.P. Bank",2025-03,2.51,1.84,0.67,43.22
"Karnataka Bank",2025-04,1.27,0.61,0.66,137.30
"Fino Payments Bank Ltd.",2025-06,0.88,0.23,0.65,209.27
"AU Small Finance Bank",2025-07,0.68,0.04,0.64,77.71
"Bandhan Bank Limited",2024-09,1.67,1.03,0.64,68.05
"Baroda U.P. Bank",2025-05,2.04,1.40,0.64,45.69
"Indian Overseas Bank",2024-03,2.42,1.84,0.58,188.01
"Kerala Gramin Bank",2025-06,1.58,1.02,0.56,43.30
"SARVA HARYANA GRAMIN BANK",2026-06,1.64,1.08,0.56,30.99
"State Bank of India",2025-03,0.90,0.34,0.56,4956.07
"Uttar Pradesh Gramin Bank",2025-12,4.06,3.50,0.56,71.45
"Fino Payments Bank Ltd.",2025-10,1.86,1.32,0.54,248.52
"ESAF SMALL FINANCE BANK LTD",2026-06,2.03,1.50,0.53,37.65
"Indian Overseas Bank",2024-02,1.84,1.31,0.53,168.40
"Punjab and Sind Bank",2025-06,1.06,0.53,0.53,55.07
"Union Bank of India",2024-02,1.68,1.15,0.53,754.01
"Karur Vysya Bank",2025-07,0.81,0.29,0.52,95.01
"Telangana Grameena Bank",2026-03,1.84,1.33,0.51,52.64
"Central Bank Of India",2024-04,3.83,3.33,0.50,200.60
"Ujjivan Small Finance Bank Limited",2025-03,0.60,0.10,0.50,53.09
